word,freq_zipf,language,source,n_density,old20
abad,3.81,es,wordfreq,0,1.95
abajo,4.98,es,wordfreq,0,1.95
abandona,3.95,es,wordfreq,2,3.15
abandonada,3.83,es,wordfreq,1,4.1
abandonado,4.22,es,wordfreq,1,3.75
abandonar,4.42,es,wordfreq,0,3.5
abandono,4.15,es,wordfreq,2,3.35
abandonó,4.02,es,wordfreq,2,3.4
abarca,4.06,es,wordfreq,0,2.5
abastecimiento,3.84,es,wordfreq,0,5.3
abc,4.01,es,wordfreq,2,1.85
abel,3.82,es,wordfreq,0,2.0
abierta,4.7,es,wordfreq,1,2.6
abiertamente,4.02,es,wordfreq,0,4.35
abiertas,4.3,es,wordfreq,1,2.65
abierto,4.79,es,wordfreq,1,2.45
abiertos,4.28,es,wordfreq,1,2.6
abogada,3.95,es,wordfreq,1,2.8
abogado,4.77,es,wordfreq,1,2.75
abogados,4.49,es,wordfreq,0,3.2
abordar,4.02,es,wordfreq,1,2.75
aborto,4.36,es,wordfreq,0,2.5
abra,3.94,es,wordfreq,2,1.85
abraham,3.98,es,wordfreq,0,3.85
abrazo,4.5,es,wordfreq,0,2.65
abre,4.61,es,wordfreq,2,1.8
abren,4.05,es,wordfreq,0,1.95
abriendo,3.94,es,wordfreq,0,2.85
abrieron,3.9,es,wordfreq,0,2.95
abrigo,3.92,es,wordfreq,0,2.7
abril,5.18,es,wordfreq,2,2.4
abrir,4.77,es,wordfreq,2,2.45
abrió,4.42,es,wordfreq,2,2.55
absoluta,4.46,es,wordfreq,1,3.85
absolutamente,4.6,es,wordfreq,0,5.4
absoluto,4.53,es,wordfreq,1,3.65
absurdo,4.18,es,wordfreq,0,3.3
abu,3.84,es,wordfreq,1,1.9
abuela,4.61,es,wordfreq,1,2.45
abuelo,4.49,es,wordfreq,1,2.35
abuelos,4.1,es,wordfreq,0,2.6
abundancia,3.92,es,wordfreq,0,4.45
abundante,3.96,es,wordfreq,0,3.75
aburrido,4.17,es,wordfreq,0,3.45
abuso,4.37,es,wordfreq,0,2.1
abusos,4.15,es,wordfreq,0,2.6
ac,4.02,es,wordfreq,18,1.0
aca,4.4,es,wordfreq,4,1.55
acaba,4.85,es,wordfreq,4,1.65
acababa,3.89,es,wordfreq,0,2.75
acabado,4.28,es,wordfreq,0,2.4
acabamos,3.92,es,wordfreq,0,2.85
acaban,4.31,es,wordfreq,2,2.05
acabar,4.63,es,wordfreq,2,2.0
acabaron,3.89,es,wordfreq,0,2.75
acabas,3.93,es,wordfreq,2,2.0
acabe,4.11,es,wordfreq,3,1.9
acabo,4.77,es,wordfreq,4,1.75
acabó,4.45,es,wordfreq,3,2.1
academia,4.54,es,wordfreq,0,3.75
académica,4.12,es,wordfreq,1,4.1
académico,4.33,es,wordfreq,1,4.15
académicos,4.14,es,wordfreq,0,4.4
acaso,4.68,es,wordfreq,2,1.85
acceder,4.53,es,wordfreq,0,3.25
accesible,4.02,es,wordfreq,0,4.5
acceso,5.05,es,wordfreq,0,2.7
accesorios,3.86,es,wordfreq,0,4.6
accidente,4.69,es,wordfreq,1,3.2
accidentes,4.29,es,wordfreq,0,3.2
accion,3.96,es,wordfreq,1,2.8
acciones,5.04,es,wordfreq,0,2.5
accionistas,3.89,es,wordfreq,0,4.45
acción,5.13,es,wordfreq,1,2.2
aceite,4.46,es,wordfreq,1,2.55
acento,4.1,es,wordfreq,2,1.9
acepta,4.35,es,wordfreq,3,2.0
aceptable,3.98,es,wordfreq,0,3.6
aceptación,4.19,es,wordfreq,0,3.45
aceptada,3.83,es,wordfreq,1,2.85
aceptado,4.23,es,wordfreq,1,2.55
aceptan,3.97,es,wordfreq,1,2.45
aceptar,4.71,es,wordfreq,1,2.4
acepte,3.82,es,wordfreq,4,2.35
acepto,4.05,es,wordfreq,4,2.15
aceptó,4.09,es,wordfreq,3,2.45
acerca,5.1,es,wordfreq,1,2.3
acercamiento,3.91,es,wordfreq,0,4.6
acercan,3.83,es,wordfreq,0,2.6
acercarse,4.08,es,wordfreq,0,3.9
acercó,3.92,es,wordfreq,1,2.65
acero,4.31,es,wordfreq,0,1.95
aclara,3.82,es,wordfreq,0,2.45
aclarar,4.2,es,wordfreq,0,2.7
acogida,3.95,es,wordfreq,0,2.85
acompaña,4.15,es,wordfreq,0,2.95
acompañada,4.02,es,wordfreq,1,3.5
acompañado,4.32,es,wordfreq,1,3.45
acompañar,4.0,es,wordfreq,0,3.1
acondicionado,3.86,es,wordfreq,0,5.25
acontecimiento,4.02,es,wordfreq,0,4.4
acontecimientos,4.39,es,wordfreq,0,5.0
acordado,3.89,es,wordfreq,0,2.8
acordar,4.03,es,wordfreq,1,2.6
acorde,4.07,es,wordfreq,0,2.65
acoso,4.15,es,wordfreq,1,1.95
acosta,3.82,es,wordfreq,0,2.0
acostumbrado,4.07,es,wordfreq,0,5.3
acostumbrados,3.9,es,wordfreq,0,5.75
acta,4.22,es,wordfreq,2,1.75
actas,3.92,es,wordfreq,2,1.85
actitud,4.74,es,wordfreq,0,3.4
actitudes,4.22,es,wordfreq,0,3.95
activa,4.54,es,wordfreq,1,2.65
activamente,3.99,es,wordfreq,0,3.8
activar,3.82,es,wordfreq,0,2.75
actividad,5.04,es,wordfreq,0,3.4
actividades,5.07,es,wordfreq,0,4.35
activista,3.87,es,wordfreq,0,3.55
activistas,3.94,es,wordfreq,0,3.8
