word,freq_zipf,language,source,n_density,old20,gender
aaa,3.48,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",16,1.15,feminine
aba,3.17,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",26,1.0,feminine
abadía,3.34,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.45,feminine
abajo,4.98,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.9,masculine
abanderado,3.14,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.6,masculine
abandona,3.95,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,2.35,feminine
abandonada,3.83,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.8,feminine
abandonado,4.22,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.5,masculine
abandono,4.15,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,2.5,masculine
abanico,3.55,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.9,masculine
abarca,4.06,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,1.85,feminine
abasto,3.49,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.25,masculine
abatido,3.4,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.7,masculine
abeja,3.48,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.9,feminine
abelardo,3.16,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.95,masculine
abertura,3.41,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.7,feminine
abierta,4.7,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,2.25,feminine
abierto,4.79,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,2.2,masculine
abismo,3.78,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.45,masculine
aboga,3.27,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.9,feminine
abogacía,3.39,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.65,feminine
abogada,3.95,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.4,feminine
abogado,4.77,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.85,masculine
abonado,3.18,es,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.95,masculine
