word,freq_zipf,language,source,n_density,old20
一一,4.28,zh,wordfreq,260,1.0
一万,4.04,zh,wordfreq,253,1.0
一下,5.46,zh,wordfreq,306,1.0
一下子,4.13,zh,wordfreq,2,1.85
一世,3.94,zh,wordfreq,263,1.0
一丝,4.12,zh,wordfreq,243,1.0
一两,3.49,zh,wordfreq,238,1.0
一两个,3.73,zh,wordfreq,2,1.75
一个,6.56,zh,wordfreq,275,1.0
一个个,4.22,zh,wordfreq,5,1.65
一个半,3.51,zh,wordfreq,3,1.75
一个多,5.05,zh,wordfreq,3,1.8
一个月,4.68,zh,wordfreq,6,1.6
一中,4.0,zh,wordfreq,286,1.0
一串,3.61,zh,wordfreq,238,1.0
一举,3.86,zh,wordfreq,247,1.0
一书,3.72,zh,wordfreq,263,1.0
一事,4.17,zh,wordfreq,294,1.0
一二,3.54,zh,wordfreq,246,1.0
一些,5.76,zh,wordfreq,246,1.0
一人,4.56,zh,wordfreq,378,1.0
一亿,3.58,zh,wordfreq,242,1.0
一代,4.52,zh,wordfreq,261,1.0
一件,4.95,zh,wordfreq,265,1.0
一任,3.65,zh,wordfreq,268,1.0
一份,4.86,zh,wordfreq,249,1.0
一伙,3.75,zh,wordfreq,244,1.0
一会,4.54,zh,wordfreq,290,1.0
一会儿,4.52,zh,wordfreq,3,1.75
一位,5.28,zh,wordfreq,284,1.0
一体,4.43,zh,wordfreq,289,1.0
一体化,4.04,zh,wordfreq,0,1.95
一例,3.69,zh,wordfreq,252,1.0
一侧,3.75,zh,wordfreq,247,1.0
一倍,3.89,zh,wordfreq,245,1.0
一元,3.59,zh,wordfreq,253,1.0
一八,3.32,zh,wordfreq,242,1.0
一共,4.27,zh,wordfreq,244,1.0
一具,3.78,zh,wordfreq,255,1.0
一再,4.12,zh,wordfreq,239,1.0
一出,4.0,zh,wordfreq,316,1.0
一击,3.5,zh,wordfreq,264,1.0
一刀,3.74,zh,wordfreq,245,1.0
一分,4.18,zh,wordfreq,272,1.0
一分钟,4.31,zh,wordfreq,7,1.55
一分钱,3.69,zh,wordfreq,1,1.9
一切,5.54,zh,wordfreq,248,1.0
一列,3.48,zh,wordfreq,251,1.0
一则,4.08,zh,wordfreq,247,1.0
