word,freq_zipf,language,source,n_density,old20
administrative,4.45,en,wordfreq,0,6.05
administrator,4.07,en,wordfreq,0,5.8
administrators,3.85,en,wordfreq,0,6.2
admiral,4.0,en,wordfreq,0,3.3
admire,3.97,en,wordfreq,0,2.7
admission,4.15,en,wordfreq,0,3.4
admissions,3.76,en,wordfreq,0,3.5
admit,4.58,en,wordfreq,1,2.4
admits,3.94,en,wordfreq,0,2.65
admitted,4.49,en,wordfreq,0,3.15
admitting,3.8,en,wordfreq,0,3.5
adopt,4.19,en,wordfreq,1,2.45
adopted,4.51,en,wordfreq,1,2.85
adopting,3.78,en,wordfreq,0,2.95
adoption,4.17,en,wordfreq,0,2.8
adorable,4.06,en,wordfreq,0,3.55
adrian,3.95,en,wordfreq,0,2.7
ads,4.32,en,wordfreq,3,1.55
adult,4.8,en,wordfreq,0,2.35
adults,4.59,en,wordfreq,0,2.85
advance,4.65,en,wordfreq,0,2.7
advanced,4.71,en,wordfreq,1,3.2
advancement,3.81,en,wordfreq,0,4.45
advances,4.08,en,wordfreq,1,3.15
advancing,3.86,en,wordfreq,0,3.65
advantage,4.78,en,wordfreq,0,3.9
advantages,4.1,en,wordfreq,0,4.25
adventure,4.46,en,wordfreq,0,3.65
adventures,4.15,en,wordfreq,0,4.05
adverse,3.89,en,wordfreq,0,2.85
advertisement,3.84,en,wordfreq,0,5.85
advertising,4.54,en,wordfreq,0,4.9
advice,4.88,en,wordfreq,1,2.55
advise,4.09,en,wordfreq,1,2.5
advised,4.18,en,wordfreq,1,2.65
adviser,3.94,en,wordfreq,2,3.1
advisor,4.01,en,wordfreq,1,3.25
advisory,4.18,en,wordfreq,0,3.65
advocacy,3.9,en,wordfreq,0,4.35
advocate,4.21,en,wordfreq,0,3.4
advocates,3.95,en,wordfreq,0,3.7
aerial,3.91,en,wordfreq,1,2.5
aesthetic,4.02,en,wordfreq,0,4.35
af,3.97,en,wordfreq,23,1.0
affair,4.3,en,wordfreq,0,2.75
affairs,4.67,en,wordfreq,0,3.15
affect,4.59,en,wordfreq,1,2.65
affected,4.64,en,wordfreq,0,2.85
affecting,4.07,en,wordfreq,0,3.35
affection,3.92,en,wordfreq,0,2.9
affects,4.16,en,wordfreq,1,2.6
affiliate,3.99,en,wordfreq,0,4.4
affiliated,3.96,en,wordfreq,0,4.5
afford,4.57,en,wordfreq,0,2.8
affordable,4.22,en,wordfreq,0,4.55
afghan,3.83,en,wordfreq,0,3.05
afghanistan,4.23,en,wordfreq,0,5.9
afl,3.8,en,wordfreq,2,1.75
afraid,4.7,en,wordfreq,0,2.85
africa,4.92,en,wordfreq,0,2.8
african,4.82,en,wordfreq,0,2.95
africans,3.77,en,wordfreq,0,3.55
after,6.11,en,wordfreq,1,1.95
aftermath,3.9,en,wordfreq,0,4.5
afternoon,4.72,en,wordfreq,0,4.55
afterward,3.83,en,wordfreq,0,3.85
afterwards,4.42,en,wordfreq,0,4.4
ag,3.95,en,wordfreq,20,1.0
again,5.7,en,wordfreq,0,2.05
