trial,list,set,condition,word,condition_trigger,item_trigger
1,1,26,high_frequency,started,101,58
2,1,34,high_frequency,season,101,67
3,1,30,high_frequency,post,101,63
4,1,11,low_frequency,feast,102,42
5,1,20,high_frequency,leave,101,52
6,1,11,high_frequency,march,101,42
7,1,55,low_frequency,jill,102,90
8,1,49,high_frequency,between,101,83
9,1,29,low_frequency,nailed,102,61
10,1,30,low_frequency,khan,102,63
11,1,18,high_frequency,third,101,49
12,1,13,high_frequency,front,101,44
13,1,48,low_frequency,prof,102,82
14,1,52,low_frequency,isle,102,87
15,1,52,high_frequency,many,101,87
16,1,17,high_frequency,myself,101,48
17,1,56,high_frequency,know,101,91
18,1,8,low_frequency,fencing,102,98
19,1,46,low_frequency,swan,102,80
20,1,37,low_frequency,damon,102,70
21,1,32,low_frequency,zelda,102,65
22,1,32,high_frequency,maybe,101,65
23,1,47,high_frequency,school,101,81
24,1,15,high_frequency,works,101,46
25,1,41,low_frequency,docs,102,75
26,1,54,low_frequency,drafts,102,89
27,1,9,low_frequency,stiff,102,99
28,1,1,low_frequency,kitty,102,40
29,1,13,low_frequency,freed,102,44
30,1,49,low_frequency,monkeys,102,83
31,1,31,low_frequency,emma,102,64
32,1,16,low_frequency,mercy,102,47
33,1,4,high_frequency,total,101,73
34,1,58,low_frequency,roots,102,93
35,1,10,low_frequency,clerk,102,41
36,1,21,low_frequency,breach,102,53
37,1,16,high_frequency,phone,101,47
38,1,3,high_frequency,include,101,62
39,1,36,high_frequency,went,101,69
40,1,48,high_frequency,help,101,82
41,1,26,low_frequency,sticker,102,58
42,1,10,high_frequency,month,101,41
43,1,23,high_frequency,nice,101,55
44,1,39,low_frequency,lima,102,72
45,1,9,high_frequency,wants,101,99
46,1,53,high_frequency,right,101,88
47,1,15,low_frequency,sails,102,46
48,1,17,low_frequency,plague,102,48
49,1,34,low_frequency,condom,102,67
50,1,59,high_frequency,like,101,94
51,1,3,low_frequency,connect,102,62
52,1,19,high_frequency,morning,101,50
53,1,28,low_frequency,annex,102,60
54,1,23,low_frequency,lime,102,55
55,1,6,high_frequency,issue,101,95
56,1,40,high_frequency,nothing,101,74
57,1,45,high_frequency,please,101,79
58,1,33,high_frequency,children,101,66
59,1,44,high_frequency,free,101,78
60,1,42,high_frequency,however,101,76
61,1,14,low_frequency,owens,102,45
62,1,24,low_frequency,yuri,102,56
63,1,39,high_frequency,live,101,72
64,1,31,high_frequency,hope,101,64
65,1,38,high_frequency,hard,101,71
66,1,18,low_frequency,masks,102,49
67,1,5,low_frequency,chip,102,84
68,1,8,high_frequency,instead,101,98
69,1,22,low_frequency,onset,102,54
70,1,58,high_frequency,which,101,93
71,1,29,high_frequency,others,101,61
72,1,45,low_frequency,jungle,102,79
73,1,7,high_frequency,space,101,97
74,1,35,low_frequency,genes,102,68
75,1,57,low_frequency,aide,102,92
76,1,2,low_frequency,deadly,102,51
77,1,46,high_frequency,each,101,80
78,1,60,high_frequency,with,101,96
79,1,2,high_frequency,likely,101,51
80,1,38,low_frequency,espn,102,71
81,1,12,high_frequency,example,101,43
82,1,59,low_frequency,dose,102,94
83,1,53,low_frequency,slept,102,88
84,1,57,high_frequency,also,101,92
85,1,6,low_frequency,jelly,102,95
86,1,22,high_frequency,comes,101,54
87,1,56,low_frequency,drum,102,91
88,1,60,low_frequency,thou,102,96
89,1,43,low_frequency,subs,102,77
90,1,55,high_frequency,back,101,90
91,1,28,high_frequency,given,101,60
92,1,7,low_frequency,tampa,102,97
93,1,21,high_frequency,months,101,53
94,1,37,high_frequency,white,101,70
95,1,54,high_frequency,should,101,89
96,1,27,low_frequency,dams,102,59
97,1,1,high_frequency,above,101,40
98,1,40,low_frequency,bowling,102,74
99,1,25,high_frequency,history,101,57
100,1,25,low_frequency,coached,102,57
101,1,51,high_frequency,while,101,86
102,1,50,high_frequency,used,101,85
103,1,14,high_frequency,gonna,101,45
104,1,35,high_frequency,order,101,68
105,1,20,low_frequency,manly,102,52
106,1,19,low_frequency,pairing,102,50
107,1,24,high_frequency,else,101,56
108,1,51,low_frequency,hamas,102,86
109,1,50,low_frequency,toni,102,85
110,1,33,low_frequency,tactics,102,66
111,1,41,high_frequency,week,101,75
112,1,12,low_frequency,blossom,102,43
113,1,27,high_frequency,food,101,59
114,1,36,low_frequency,pens,102,69
115,1,42,low_frequency,witches,102,76
116,1,47,low_frequency,browns,102,81
117,1,44,low_frequency,roar,102,78
118,1,4,low_frequency,fewer,102,73
119,1,5,high_frequency,shot,101,84
120,1,43,high_frequency,days,101,77
