trial,list,set,condition,word,condition_trigger,item_trigger
1,1,31,dense_neighbourhood,balas,101,64
2,1,79,sparse_neighbourhood,cifra,102,116
3,1,70,sparse_neighbourhood,ancho,102,107
4,1,1,sparse_neighbourhood,semi,102,40
5,1,80,dense_neighbourhood,cartas,101,118
6,1,51,dense_neighbourhood,bono,101,86
7,1,52,dense_neighbourhood,bonos,101,87
8,1,61,dense_neighbourhood,cali,101,97
9,1,25,sparse_neighbourhood,spam,102,57
10,1,50,dense_neighbourhood,bolas,101,85
11,1,28,sparse_neighbourhood,auge,102,60
12,1,36,sparse_neighbourhood,bomba,102,69
13,1,56,dense_neighbourhood,busco,101,91
14,1,23,dense_neighbourhood,autos,101,55
15,1,37,dense_neighbourhood,bares,101,70
16,1,55,dense_neighbourhood,bruto,101,90
17,1,10,dense_neighbourhood,alza,101,41
18,1,35,dense_neighbourhood,barca,101,68
19,1,1,dense_neighbourhood,abra,101,40
20,1,60,dense_neighbourhood,cajas,101,96
21,1,40,dense_neighbourhood,basada,101,74
22,1,53,dense_neighbourhood,bordo,101,88
23,1,42,dense_neighbourhood,basan,101,76
24,1,64,sparse_neighbourhood,línea,102,100
25,1,42,sparse_neighbourhood,billy,102,76
26,1,73,dense_neighbourhood,cara,101,110
27,1,27,dense_neighbourhood,bajas,101,59
28,1,67,dense_neighbourhood,camina,101,103
29,1,48,sparse_neighbourhood,psoe,102,82
30,1,38,dense_neighbourhood,barra,101,71
31,1,66,sparse_neighbourhood,gracia,102,102
32,1,60,sparse_neighbourhood,miami,102,96
33,1,24,sparse_neighbourhood,judía,102,56
34,1,49,dense_neighbourhood,bodas,101,83
35,1,4,sparse_neighbourhood,acosta,102,73
36,1,14,dense_neighbourhood,amos,101,45
37,1,57,sparse_neighbourhood,huir,102,92
38,1,8,dense_neighbourhood,alfa,101,117
39,1,51,sparse_neighbourhood,sofá,102,86
40,1,20,sparse_neighbourhood,email,102,52
41,1,53,sparse_neighbourhood,cruel,102,88
42,1,41,sparse_neighbourhood,abuelo,102,75
43,1,10,sparse_neighbourhood,plus,102,41
44,1,30,sparse_neighbourhood,nazi,102,63
45,1,71,dense_neighbourhood,capa,101,108
46,1,43,sparse_neighbourhood,frase,102,77
47,1,11,sparse_neighbourhood,islam,102,42
48,1,65,dense_neighbourhood,camas,101,101
49,1,63,dense_neighbourhood,callar,101,99
50,1,78,dense_neighbourhood,caros,101,115
51,1,27,sparse_neighbourhood,adiós,102,59
52,1,18,sparse_neighbourhood,bruce,102,49
53,1,20,dense_neighbourhood,asado,101,52
54,1,16,dense_neighbourhood,area,101,47
55,1,76,sparse_neighbourhood,enero,102,113
56,1,24,dense_neighbourhood,ayudo,101,56
57,1,72,dense_neighbourhood,capas,101,109
58,1,2,sparse_neighbourhood,honor,102,51
59,1,3,sparse_neighbourhood,aéreo,102,62
60,1,75,dense_neighbourhood,cargas,101,112
61,1,46,dense_neighbourhood,bello,101,80
62,1,28,dense_neighbourhood,baje,101,60
63,1,35,sparse_neighbourhood,aguja,102,68
64,1,59,dense_neighbourhood,cago,101,94
65,1,33,dense_neighbourhood,bando,101,66
66,1,78,sparse_neighbourhood,alice,102,115
67,1,55,sparse_neighbourhood,latín,102,90
68,1,50,sparse_neighbourhood,exige,102,85
69,1,14,sparse_neighbourhood,apps,102,45
70,1,76,dense_neighbourhood,cargo,101,113
71,1,77,sparse_neighbourhood,once,102,114
72,1,63,sparse_neighbourhood,adonde,102,99
73,1,56,sparse_neighbourhood,moscú,102,91
74,1,5,sparse_neighbourhood,avanza,102,84
75,1,34,sparse_neighbourhood,abad,102,67
76,1,21,dense_neighbourhood,atado,101,53
77,1,62,dense_neighbourhood,calla,101,98
78,1,31,sparse_neighbourhood,brown,102,64
79,1,7,sparse_neighbourhood,from,102,106
80,1,3,dense_neighbourhood,acabe,101,62
81,1,13,dense_neighbourhood,aman,101,44
82,1,36,dense_neighbourhood,barco,101,69
83,1,68,sparse_neighbourhood,kevin,102,104
84,1,4,dense_neighbourhood,acepte,101,73
85,1,33,sparse_neighbourhood,white,102,66
86,1,77,dense_neighbourhood,caro,101,114
87,1,21,sparse_neighbourhood,actuó,102,53
88,1,30,dense_neighbourhood,bala,101,63
89,1,59,sparse_neighbourhood,jazz,102,94
90,1,67,sparse_neighbourhood,cuadra,102,103
91,1,29,sparse_neighbourhood,blue,102,61
92,1,9,sparse_neighbourhood,espía,102,119
93,1,69,dense_neighbourhood,cantar,101,105
94,1,79,dense_neighbourhood,carro,101,116
95,1,66,dense_neighbourhood,cambia,101,102
96,1,17,sparse_neighbourhood,ritmo,102,48
97,1,19,sparse_neighbourhood,onda,102,50
98,1,40,sparse_neighbourhood,dirige,102,74
99,1,18,dense_neighbourhood,arias,101,49
100,1,71,sparse_neighbourhood,orto,102,108
101,1,68,dense_neighbourhood,canta,101,104
102,1,44,dense_neighbourhood,bell,101,78
103,1,32,dense_neighbourhood,banda,101,65
104,1,25,dense_neighbourhood,back,101,57
105,1,32,sparse_neighbourhood,unión,102,65
106,1,11,dense_neighbourhood,amaba,101,42
107,1,72,sparse_neighbourhood,xviii,102,109
108,1,19,dense_neighbourhood,arma,101,50
109,1,9,dense_neighbourhood,alias,101,119
110,1,74,dense_neighbourhood,caras,101,111
111,1,39,dense_neighbourhood,barro,101,72
112,1,54,sparse_neighbourhood,viuda,102,89
113,1,8,sparse_neighbourhood,cdmx,102,117
114,1,52,sparse_neighbourhood,juana,102,87
115,1,61,sparse_neighbourhood,gays,102,97
116,1,7,dense_neighbourhood,alan,101,106
117,1,58,dense_neighbourhood,cagar,101,93
118,1,74,sparse_neighbourhood,héroe,102,111
119,1,6,dense_neighbourhood,air,101,95
120,1,22,sparse_neighbourhood,rubén,102,54
121,1,65,sparse_neighbourhood,trans,102,101
122,1,43,dense_neighbourhood,bases,101,77
123,1,12,dense_neighbourhood,amada,101,43
124,1,49,sparse_neighbourhood,diosa,102,83
125,1,17,dense_neighbourhood,arena,101,48
126,1,12,sparse_neighbourhood,guías,102,43
127,1,22,dense_neighbourhood,atras,101,54
128,1,16,sparse_neighbourhood,just,102,47
129,1,54,dense_neighbourhood,botas,101,89
130,1,46,sparse_neighbourhood,flujo,102,80
131,1,38,sparse_neighbourhood,acero,102,71
132,1,2,dense_neighbourhood,acaba,101,51
133,1,47,dense_neighbourhood,beta,101,81
134,1,39,sparse_neighbourhood,ortiz,102,72
135,1,44,sparse_neighbourhood,road,102,78
136,1,80,sparse_neighbourhood,estuve,102,118
137,1,37,sparse_neighbourhood,finca,102,70
138,1,15,dense_neighbourhood,amplia,101,46
139,1,47,sparse_neighbourhood,amlo,102,81
140,1,73,sparse_neighbourhood,ojos,102,110
141,1,58,sparse_neighbourhood,flaco,102,93
142,1,34,dense_neighbourhood,bang,101,67
143,1,69,sparse_neighbourhood,armada,102,105
144,1,41,dense_neighbourhood,basado,101,75
145,1,15,sparse_neighbourhood,bosque,102,46
146,1,23,sparse_neighbourhood,ideal,102,55
147,1,45,dense_neighbourhood,bella,101,79
148,1,13,sparse_neighbourhood,emma,102,44
149,1,29,dense_neighbourhood,bajó,101,61
150,1,64,dense_neighbourhood,calle,101,100
151,1,62,sparse_neighbourhood,karen,102,98
152,1,26,sparse_neighbourhood,novio,102,58
153,1,5,dense_neighbourhood,acepto,101,84
154,1,6,sparse_neighbourhood,off,102,95
155,1,48,dense_neighbourhood,boda,101,82
156,1,75,sparse_neighbourhood,admite,102,112
157,1,26,dense_neighbourhood,bajar,101,58
158,1,70,dense_neighbourhood,canto,101,107
159,1,57,dense_neighbourhood,caen,101,92
160,1,45,sparse_neighbourhood,extra,102,79
