trial,list,set,condition,word,condition_trigger,item_trigger
1,1,25,low_frequency,archive,102,57
2,1,55,high_frequency,night,101,90
3,1,57,low_frequency,blonde,102,92
4,1,22,low_frequency,buck,102,54
5,1,4,high_frequency,position,101,73
6,1,1,high_frequency,above,101,40
7,1,7,high_frequency,issue,101,106
8,1,33,low_frequency,breach,102,66
9,1,74,high_frequency,also,101,111
10,1,15,high_frequency,former,101,46
11,1,69,low_frequency,accent,102,105
12,1,80,low_frequency,mlb,102,118
13,1,77,low_frequency,clip,102,114
14,1,18,low_frequency,bug,102,49
15,1,55,low_frequency,cared,102,90
16,1,18,high_frequency,act,101,49
17,1,47,low_frequency,aired,102,81
18,1,3,high_frequency,won,101,62
19,1,30,high_frequency,else,101,63
20,1,58,low_frequency,ego,102,93
21,1,73,low_frequency,heel,102,110
22,1,59,high_frequency,next,101,94
23,1,44,high_frequency,says,101,78
24,1,17,low_frequency,abc,102,48
25,1,27,low_frequency,alley,102,59
26,1,44,low_frequency,lime,102,78
27,1,71,high_frequency,want,101,108
28,1,6,low_frequency,chan,102,95
29,1,49,high_frequency,full,101,83
30,1,78,low_frequency,ios,102,115
31,1,12,low_frequency,abandon,102,43
32,1,59,low_frequency,anne,102,94
33,1,32,low_frequency,arrange,102,65
34,1,23,high_frequency,light,101,55
35,1,34,low_frequency,dip,102,67
36,1,76,low_frequency,ian,102,113
37,1,79,low_frequency,clue,102,116
38,1,53,high_frequency,however,101,88
39,1,9,low_frequency,cab,102,119
40,1,16,low_frequency,beg,102,47
41,1,26,high_frequency,months,101,58
42,1,54,low_frequency,atm,102,89
43,1,31,low_frequency,junk,102,64
44,1,56,high_frequency,second,101,91
45,1,72,high_frequency,know,101,109
46,1,65,high_frequency,through,101,101
47,1,41,high_frequency,war,101,75
48,1,66,low_frequency,bid,102,102
49,1,13,low_frequency,arrives,102,44
50,1,1,low_frequency,allah,102,40
51,1,28,low_frequency,bra,102,60
52,1,38,low_frequency,allies,102,71
53,1,32,high_frequency,several,101,65
54,1,2,high_frequency,lead,101,51
55,1,42,low_frequency,acute,102,76
56,1,21,low_frequency,ali,102,53
57,1,60,low_frequency,lease,102,96
58,1,47,high_frequency,power,101,81
59,1,2,low_frequency,bass,102,51
60,1,67,low_frequency,flu,102,103
61,1,6,high_frequency,site,101,95
62,1,67,high_frequency,off,101,103
63,1,41,low_frequency,doc,102,75
64,1,45,low_frequency,settle,102,79
65,1,21,high_frequency,age,101,53
66,1,10,high_frequency,road,101,41
67,1,35,high_frequency,guys,101,68
68,1,27,high_frequency,close,101,59
69,1,14,high_frequency,example,101,45
70,1,38,high_frequency,course,101,71
71,1,64,low_frequency,fry,102,100
72,1,74,low_frequency,eden,102,111
73,1,48,low_frequency,lace,102,82
74,1,66,high_frequency,got,101,102
75,1,70,low_frequency,admin,102,107
76,1,36,high_frequency,ago,101,69
77,1,30,low_frequency,arab,102,63
78,1,78,high_frequency,can,101,115
79,1,17,high_frequency,non,101,48
80,1,15,low_frequency,abused,102,46
81,1,40,high_frequency,story,101,74
82,1,16,high_frequency,art,101,47
83,1,69,high_frequency,really,101,105
84,1,37,high_frequency,early,101,70
85,1,52,high_frequency,group,101,87
86,1,26,low_frequency,allied,102,58
87,1,76,high_frequency,had,101,113
88,1,39,high_frequency,within,101,72
89,1,51,high_frequency,care,101,86
90,1,68,high_frequency,right,101,104
91,1,33,high_frequency,coming,101,66
92,1,31,high_frequency,fuck,101,64
93,1,22,high_frequency,soon,101,54
94,1,80,high_frequency,you,101,118
95,1,37,low_frequency,bryan,102,70
96,1,63,low_frequency,boil,102,99
97,1,39,low_frequency,abroad,102,72
98,1,62,high_frequency,find,101,98
99,1,28,high_frequency,air,101,60
100,1,62,low_frequency,bend,102,98
101,1,58,high_frequency,end,101,93
102,1,73,high_frequency,good,101,110
103,1,48,high_frequency,hard,101,82
104,1,43,low_frequency,baptist,102,77
105,1,35,low_frequency,bias,102,68
106,1,29,low_frequency,ranking,102,61
107,1,75,high_frequency,been,101,112
108,1,49,low_frequency,pigs,102,83
109,1,64,high_frequency,use,101,100
110,1,10,low_frequency,dial,102,41
111,1,20,high_frequency,further,101,52
112,1,50,high_frequency,already,101,85
113,1,61,high_frequency,help,101,97
114,1,43,high_frequency,american,101,77
115,1,36,low_frequency,bro,102,69
116,1,54,high_frequency,few,101,89
117,1,12,high_frequency,students,101,43
118,1,79,high_frequency,from,101,116
119,1,29,high_frequency,playing,101,61
120,1,40,low_frequency,basin,102,74
121,1,56,low_frequency,adjust,102,91
122,1,11,low_frequency,armor,102,42
123,1,46,low_frequency,chen,102,80
124,1,42,high_frequency,using,101,76
125,1,25,high_frequency,special,101,57
126,1,75,low_frequency,kent,102,112
127,1,77,high_frequency,when,101,114
128,1,24,low_frequency,blade,102,56
129,1,20,low_frequency,accepts,102,52
130,1,4,low_frequency,adverse,102,73
131,1,19,high_frequency,major,101,50
132,1,72,low_frequency,alot,102,109
133,1,24,high_frequency,taken,101,56
134,1,8,low_frequency,betty,102,117
135,1,71,low_frequency,chin,102,108
136,1,46,high_frequency,head,101,80
137,1,50,low_frequency,admiral,102,85
138,1,60,high_frequency,thing,101,96
139,1,13,high_frequency,process,101,44
140,1,34,high_frequency,pay,101,67
141,1,70,high_frequency,where,101,107
142,1,9,high_frequency,cut,101,119
143,1,5,low_frequency,bald,102,84
144,1,5,high_frequency,goes,101,84
145,1,3,low_frequency,ace,102,62
146,1,23,low_frequency,races,102,55
147,1,11,high_frequency,clear,101,42
148,1,45,high_frequency,though,101,79
149,1,51,low_frequency,cart,102,86
150,1,19,low_frequency,adopt,102,50
151,1,68,low_frequency,rains,102,104
152,1,57,high_frequency,please,101,92
153,1,61,low_frequency,crop,102,97
154,1,14,low_frequency,absence,102,45
155,1,7,low_frequency,ninja,102,106
156,1,8,high_frequency,shows,101,117
157,1,63,high_frequency,both,101,99
158,1,65,low_frequency,attract,102,101
159,1,53,low_frequency,apology,102,88
160,1,52,low_frequency,array,102,87
