trial,list,set,condition,word,condition_trigger,item_trigger
1,1,25,low_frequency,bust,101,57
1,2,26,high_frequency,week,102,58
1,3,5,high_frequency,field,102,75
1,4,16,low_frequency,blade,101,47
2,1,1,high_frequency,above,102,40
2,2,2,high_frequency,won,102,51
2,3,6,high_frequency,gave,102,76
2,4,3,low_frequency,boeing,101,62
3,1,9,low_frequency,fred,101,79
3,2,33,high_frequency,those,102,66
3,3,5,low_frequency,alice,101,75
3,4,3,high_frequency,killed,102,62
4,1,1,low_frequency,allah,101,40
4,2,22,low_frequency,bent,101,54
4,3,6,low_frequency,nate,101,76
4,4,16,high_frequency,large,102,47
5,1,28,low_frequency,accent,101,60
5,2,14,low_frequency,anna,101,45
5,3,39,low_frequency,bid,101,72
5,4,12,low_frequency,breathe,101,43
6,1,21,low_frequency,archive,101,53
6,2,19,high_frequency,thanks,102,50
6,3,39,high_frequency,can,102,72
6,4,20,low_frequency,lamp,101,52
7,1,21,high_frequency,everyone,102,53
7,2,17,high_frequency,food,102,48
7,3,18,low_frequency,adopt,101,49
7,4,30,high_frequency,during,102,63
8,1,10,high_frequency,media,102,41
8,2,19,low_frequency,angles,101,50
8,3,15,low_frequency,acre,101,46
8,4,32,low_frequency,fits,101,65
9,1,36,high_frequency,think,102,69
9,2,38,low_frequency,cease,101,71
9,3,7,high_frequency,study,102,77
9,4,8,low_frequency,annie,101,78
10,1,37,high_frequency,now,102,70
10,2,22,high_frequency,line,102,54
10,3,18,high_frequency,level,102,49
10,4,40,low_frequency,mlb,101,74
11,1,37,low_frequency,ant,101,70
11,2,13,low_frequency,arise,101,44
11,3,15,high_frequency,yeah,102,46
11,4,24,high_frequency,water,102,56
12,1,28,high_frequency,number,102,60
12,2,27,high_frequency,company,102,59
12,3,35,low_frequency,anne,101,68
12,4,32,high_frequency,look,102,65
13,1,29,low_frequency,bros,101,61
13,2,27,low_frequency,arrange,101,59
13,3,31,high_frequency,better,102,64
13,4,34,low_frequency,abc,101,67
14,1,10,low_frequency,armor,101,41
14,2,26,low_frequency,bald,101,58
14,3,31,low_frequency,graves,101,64
14,4,40,high_frequency,you,102,74
15,1,36,low_frequency,cargo,101,69
15,2,17,low_frequency,beam,101,48
15,3,4,low_frequency,cheeks,101,73
15,4,24,low_frequency,freed,101,56
16,1,29,high_frequency,team,102,61
16,2,33,low_frequency,aaron,101,66
16,3,23,low_frequency,baked,101,55
16,4,8,high_frequency,front,102,78
17,1,11,low_frequency,bake,101,42
17,2,13,high_frequency,cause,102,44
17,3,7,low_frequency,alert,101,77
17,4,12,high_frequency,million,102,43
18,1,25,high_frequency,read,102,57
18,2,38,high_frequency,there,102,71
18,3,23,high_frequency,based,102,55
18,4,20,high_frequency,kind,102,52
19,1,9,high_frequency,plan,102,79
19,2,2,low_frequency,ace,101,51
19,3,35,high_frequency,very,102,68
19,4,30,low_frequency,abused,101,63
20,1,11,high_frequency,deal,102,42
20,2,14,high_frequency,idea,102,45
20,3,4,high_frequency,played,102,73
20,4,34,high_frequency,too,102,67
