trial,list,set,condition,category,target,answer,condition_trigger,item_trigger
1,1,12,narrow,A BIRD?,turkey,f,101,43
1,2,13,narrow,A MAMMAL?,rabbit,f,101,44
2,1,11,broad,AN ANIMAL?,parrot,f,102,42
2,2,16,broad,A PLANT?,carrot,f,102,47
3,1,3,broad,AN OBJECT?,hammer,f,102,49
3,2,2,broad,A PLANT?,onion,f,102,48
4,1,10,narrow,A MAMMAL?,beaver,f,101,41
4,2,5,narrow,A CONTAINER?,kettle,f,101,51
5,1,16,narrow,A VEGETABLE?,carrot,f,101,47
5,2,12,broad,AN ANIMAL?,turkey,f,102,43
6,1,2,narrow,A VEGETABLE?,onion,f,101,48
6,2,9,narrow,A FISH?,salmon,f,101,55
7,1,5,broad,AN OBJECT?,kettle,f,102,51
7,2,6,broad,AN OBJECT?,bottle,f,102,52
8,1,15,broad,A PLANT?,lemon,f,102,46
8,2,1,narrow,A BIRD?,robin,f,101,40
9,1,14,narrow,A FRUIT?,apple,f,101,45
9,2,7,narrow,A METAL?,copper,f,101,53
10,1,1,broad,AN ANIMAL?,robin,f,102,40
10,2,3,narrow,A TOOL?,hammer,f,101,49
11,1,13,broad,AN ANIMAL?,rabbit,f,102,44
11,2,15,narrow,A FRUIT?,lemon,f,101,46
12,1,7,broad,A SUBSTANCE?,copper,f,102,53
12,2,8,broad,A SUBSTANCE?,marble,f,102,54
13,1,6,narrow,A CONTAINER?,bottle,f,101,52
13,2,14,broad,A PLANT?,apple,f,102,45
14,1,9,broad,AN ANIMAL?,salmon,f,102,55
14,2,10,broad,AN ANIMAL?,beaver,f,102,41
15,1,8,narrow,A STONE?,marble,f,101,54
15,2,11,narrow,A BIRD?,parrot,f,101,42
16,1,4,narrow,A TOOL?,shovel,f,101,50
16,2,4,broad,AN OBJECT?,shovel,f,102,50
