trial,list,set,condition,word,condition_trigger,item_trigger
1,1,4,HF_smallN,able,101,52
2,1,10,HF_largeN,pay,102,41
3,1,10,HF_smallN,army,101,41
4,1,16,LF_largeN,bans,103,47
5,1,17,LF_largeN,abi,103,48
6,1,15,HF_smallN,city,101,46
7,1,5,HF_smallN,also,101,53
8,1,12,LF_largeN,bain,103,43
9,1,17,HF_largeN,her,102,48
10,1,12,LF_smallN,aclu,104,43
11,1,18,HF_smallN,door,101,49
12,1,1,HF_smallN,off,101,40
13,1,7,LF_smallN,acer,104,55
14,1,18,LF_smallN,bmx,104,49
15,1,17,LF_smallN,blu,104,48
16,1,4,HF_largeN,hell,102,52
17,1,1,LF_largeN,aaa,103,40
18,1,8,HF_largeN,art,102,56
19,1,2,LF_largeN,aac,103,50
20,1,6,HF_largeN,king,102,54
21,1,5,LF_largeN,ares,103,53
22,1,18,HF_largeN,was,102,49
23,1,8,HF_smallN,why,101,56
24,1,6,HF_smallN,anti,101,54
25,1,3,HF_smallN,two,101,51
26,1,9,HF_smallN,you,101,57
27,1,18,LF_largeN,abs,103,49
28,1,2,HF_largeN,box,102,50
29,1,8,LF_smallN,bff,104,56
30,1,10,LF_largeN,abe,103,41
31,1,16,HF_smallN,club,101,47
32,1,13,HF_smallN,blue,101,44
33,1,4,LF_smallN,abba,104,52
34,1,9,HF_largeN,ask,102,57
35,1,14,HF_smallN,body,101,45
36,1,6,LF_largeN,aung,103,54
37,1,2,LF_smallN,aww,104,50
38,1,7,HF_largeN,shot,102,55
39,1,4,LF_largeN,ames,103,52
40,1,14,HF_largeN,come,102,45
41,1,12,HF_largeN,seen,102,43
42,1,14,LF_largeN,bale,103,45
43,1,16,LF_smallN,adhd,104,47
44,1,15,LF_largeN,bane,103,46
45,1,1,LF_smallN,afb,104,40
46,1,13,LF_smallN,acne,104,44
47,1,7,HF_smallN,area,101,55
48,1,13,LF_largeN,bake,103,44
49,1,1,HF_largeN,ass,102,40
50,1,3,LF_largeN,aap,103,51
51,1,9,LF_smallN,bhp,104,57
52,1,11,LF_largeN,bail,103,42
53,1,14,LF_smallN,acre,104,45
54,1,11,HF_smallN,away,101,42
55,1,8,LF_largeN,aba,103,56
56,1,5,HF_largeN,lives,102,53
57,1,7,LF_largeN,babe,103,55
58,1,5,LF_smallN,abby,104,53
59,1,12,HF_smallN,baby,101,43
60,1,3,LF_smallN,bbq,104,51
61,1,10,LF_smallN,bjp,104,41
62,1,17,HF_smallN,damn,101,48
63,1,11,HF_largeN,less,102,42
64,1,2,HF_smallN,own,101,50
65,1,16,HF_largeN,then,102,47
66,1,3,HF_largeN,sir,102,51
67,1,13,HF_largeN,done,102,44
68,1,11,LF_smallN,ache,104,42
69,1,15,HF_largeN,take,102,46
70,1,6,LF_smallN,abel,104,54
71,1,9,LF_largeN,abd,103,57
72,1,15,LF_smallN,aden,104,46
