condition,reference,dimension,cohens_d,d_ci_low,d_ci_high,tost_p,equivalent
sparse_neighbourhood,dense_neighbourhood,length,0.0,-0.262,0.262,0.0009,True
sparse_neighbourhood,dense_neighbourhood,frequency,0.0,-0.262,0.262,0.0009,True
sparse_neighbourhood,dense_neighbourhood,n_density,3.108,2.847,3.37,1.0,False
sparse_neighbourhood,dense_neighbourhood,old20,-2.304,-2.565,-2.042,1.0,False
