group,dimension,n,mean,sd,min,median,max
high_frequency,length,80,2.0,0.0,2.0,2.0,2.0
high_frequency,frequency,80,5.324,0.294,5.0,5.245,6.56
high_frequency,n_density,80,69.825,64.807,8.0,51.5,307.0
high_frequency,old20,80,1.038,0.111,1.0,1.0,1.55
low_frequency,length,80,2.0,0.0,2.0,2.0,2.0
low_frequency,frequency,80,3.81,0.201,3.5,3.81,4.2
low_frequency,n_density,80,65.662,52.159,14.0,51.5,199.0
low_frequency,old20,80,1.028,0.074,1.0,1.0,1.25
