condition,reference,dimension,cohens_d,d_ci_low,d_ci_high,var_ratio,tost_p,equivalent
sparse_neighbourhood,dense_neighbourhood,length,0,-0.262,0.262,1,9e-4,TRUE
sparse_neighbourhood,dense_neighbourhood,frequency,0,-0.262,0.262,1,9e-4,TRUE
sparse_neighbourhood,dense_neighbourhood,n_density,2.128,1.8,2.455,0.01,1,FALSE
sparse_neighbourhood,dense_neighbourhood,old20,-2.421,-2.765,-2.077,0.739,1,FALSE
