condition,reference,dimension,cohens_d,d_ci_low,d_ci_high,var_ratio,tost_p,equivalent
masculine,feminine,length,0.0,-0.339,0.339,1.0,0.0081,True
masculine,feminine,frequency,0.021,-0.319,0.36,0.009,0.0105,True
masculine,feminine,n_density,0.196,-0.143,0.535,0.556,0.0697,False
masculine,feminine,old20,-0.082,-0.422,0.257,0.893,0.0218,True
