condition,reference,dimension,cohens_d,d_ci_low,d_ci_high,var_ratio,tost_p,equivalent
low_frequency,high_frequency,length,0.027,-0.235,0.289,0.895,0.0016,True
low_frequency,high_frequency,frequency,5.272,5.01,5.533,0.213,1.0,False
low_frequency,high_frequency,n_density,0.038,-0.224,0.299,0.804,0.002,True
low_frequency,high_frequency,old20,0.009,-0.252,0.271,0.914,0.0011,True
