condition,reference,dimension,cohens_d,d_ci_low,d_ci_high,var_ratio,tost_p,equivalent
low_frequency,high_frequency,length,0.049,-0.213,0.31,0.83,0.0024,True
low_frequency,high_frequency,frequency,5.546,5.285,5.808,0.298,1.0,False
low_frequency,high_frequency,n_density,0.077,-0.184,0.339,0.61,0.0041,True
low_frequency,high_frequency,old20,0.006,-0.255,0.268,0.959,0.0011,True
