group,dimension,n,mean,sd,min,median,max
high_frequency,length,30,5.567,1.832,3.0,6.0,8.0
high_frequency,frequency,30,5.571,0.384,5.2,5.46,6.99
high_frequency,n_density,30,2.2,2.172,0.0,2.0,9.0
high_frequency,old20,30,2.21,0.676,1.1,1.9,3.75
low_frequency,length,30,5.567,1.832,3.0,6.0,8.0
low_frequency,frequency,30,4.076,0.19,3.81,4.03,4.4
low_frequency,n_density,30,2.033,1.712,0.0,2.0,6.0
low_frequency,old20,30,2.213,0.64,1.35,1.9,3.55
