condition,reference,dimension,cohens_d,d_ci_low,d_ci_high,var_ratio,tost_p,equivalent
HF_smallN,HF_largeN,length,-0.206,-0.771,0.359,0.575,0.192,FALSE
HF_smallN,HF_largeN,frequency,-0.108,-0.672,0.456,1.072,0.1238,FALSE
HF_smallN,HF_largeN,n_density,3.19,2.341,4.04,0.041,1,FALSE
HF_smallN,HF_largeN,old20,-5.756,-7.034,-4.478,1.129,1,FALSE
LF_largeN,HF_largeN,length,0.099,-0.465,0.663,0.708,0.1186,FALSE
LF_largeN,HF_largeN,frequency,4.713,3.618,5.809,0.503,1,FALSE
LF_largeN,HF_largeN,n_density,0.103,-0.461,0.667,0.641,0.1208,FALSE
LF_largeN,HF_largeN,old20,0.104,-0.46,0.669,1.023,0.1218,FALSE
LF_smallN,HF_largeN,length,0.099,-0.465,0.663,0.708,0.1186,FALSE
LF_smallN,HF_largeN,frequency,5.185,4.008,6.362,0.387,1,FALSE
LF_smallN,HF_largeN,n_density,3.289,2.424,4.153,0.052,1,FALSE
LF_smallN,HF_largeN,old20,-5.914,-7.221,-4.608,1.217,1,FALSE
