item,condition,target,category,answer
1,narrow,robin,A BIRD?,f
1,broad,robin,AN ANIMAL?,f
2,narrow,salmon,A FISH?,f
2,broad,salmon,AN ANIMAL?,f
3,narrow,beaver,A MAMMAL?,f
3,broad,beaver,AN ANIMAL?,f
4,narrow,parrot,A BIRD?,f
4,broad,parrot,AN ANIMAL?,f
5,narrow,turkey,A BIRD?,f
5,broad,turkey,AN ANIMAL?,f
6,narrow,rabbit,A MAMMAL?,f
6,broad,rabbit,AN ANIMAL?,f
7,narrow,apple,A FRUIT?,f
7,broad,apple,A PLANT?,f
8,narrow,lemon,A FRUIT?,f
8,broad,lemon,A PLANT?,f
9,narrow,carrot,A VEGETABLE?,f
9,broad,carrot,A PLANT?,f
10,narrow,onion,A VEGETABLE?,f
10,broad,onion,A PLANT?,f
11,narrow,hammer,A TOOL?,f
11,broad,hammer,AN OBJECT?,f
12,narrow,shovel,A TOOL?,f
12,broad,shovel,AN OBJECT?,f
13,narrow,kettle,A CONTAINER?,f
13,broad,kettle,AN OBJECT?,f
14,narrow,bottle,A CONTAINER?,f
14,broad,bottle,AN OBJECT?,f
15,narrow,copper,A METAL?,f
15,broad,copper,A SUBSTANCE?,f
16,narrow,marble,A STONE?,f
16,broad,marble,A SUBSTANCE?,f
