word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,replicate,list,trial
baron,3.88,english,wordfreq,4,1.55,2232,5,2,3.88,low_frequency,8,1,1,1
lean,4.14,english,wordfreq,13,1.05,15289,4,1,4.14,low_frequency,34,1,1,2
friends,5.43,english,wordfreq,0,2.55,10874,7,1,5.43,high_frequency,20,1,1,3
known,5.39,english,wordfreq,1,1.9,14948,5,1,5.39,high_frequency,17,1,1,4
borne,3.67,english,wordfreq,3,1.6,3118,5,2,3.67,low_frequency,5,1,1,5
last,5.86,english,wordfreq,13,1.05,15174,4,1,5.86,high_frequency,34,1,1,6
control,5.4,english,wordfreq,0,2.7,5933,7,2,5.4,high_frequency,18,1,1,7
fight,5.23,english,wordfreq,8,1.4,10163,5,1,5.23,high_frequency,4,1,1,8
thank,5.48,english,wordfreq,2,1.7,26913,5,1,5.48,high_frequency,23,1,1,9
might,5.66,english,wordfreq,8,1.5,17040,5,1,5.66,high_frequency,30,1,1,10
york,5.37,english,wordfreq,6,1.7,29892,4,1,5.37,high_frequency,16,1,1,11
aloud,3.51,english,wordfreq,1,1.9,818,5,2,3.51,low_frequency,17,1,1,12
things,5.74,english,wordfreq,2,1.85,26999,6,1,5.74,high_frequency,32,1,1,13
idea,5.36,english,wordfreq,2,1.65,13158,4,2,5.36,high_frequency,15,1,1,14
kids,5.28,english,wordfreq,7,1.5,14829,4,1,5.28,high_frequency,9,1,1,15
quite,5.29,english,wordfreq,3,1.8,21453,5,2,5.29,high_frequency,10,1,1,16
with,6.85,english,wordfreq,4,1.65,29566,4,1,6.85,high_frequency,40,1,1,17
alley,3.87,english,wordfreq,2,1.7,772,5,2,3.87,low_frequency,23,1,1,18
cameras,4.34,english,wordfreq,0,2.55,3883,7,3,4.34,low_frequency,20,1,1,19
other,6.16,english,wordfreq,2,1.7,18957,5,2,6.16,high_frequency,38,1,1,20
should,5.99,english,wordfreq,0,1.95,24277,6,1,5.99,high_frequency,36,1,1,21
bias,4.18,english,wordfreq,5,1.65,2649,4,1,4.18,low_frequency,19,1,1,22
absence,4.34,english,wordfreq,0,2.7,75,7,3,4.34,low_frequency,18,1,1,23
full,5.54,english,wordfreq,12,1.35,10960,4,1,5.54,high_frequency,26,1,1,24
beads,3.69,english,wordfreq,8,1.4,2371,5,1,3.69,low_frequency,4,1,1,25
asses,3.79,english,wordfreq,2,1.7,1621,5,2,3.79,low_frequency,38,1,1,26
half,5.41,english,wordfreq,5,1.65,12052,4,1,5.41,high_frequency,19,1,1,27
players,5.3,english,wordfreq,1,1.8,20193,7,1,5.3,high_frequency,11,1,1,28
holt,3.67,english,wordfreq,12,1.35,12748,4,1,3.67,low_frequency,26,1,1,29
road,5.24,english,wordfreq,5,1.55,22855,4,1,5.24,high_frequency,6,1,1,30
more,6.36,english,wordfreq,18,1.0,17497,4,2,6.36,high_frequency,39,1,1,31
police,5.33,english,wordfreq,2,1.9,20331,6,3,5.33,high_frequency,13,1,1,32
state,5.78,english,wordfreq,8,1.25,25555,5,2,5.78,high_frequency,33,1,1,33
next,5.7,english,wordfreq,4,1.65,18127,4,1,5.7,high_frequency,31,1,1,34
acute,4.0,english,wordfreq,0,1.95,282,5,3,4.0,low_frequency,27,1,1,35
crow,3.8,english,wordfreq,6,1.4,6458,4,1,3.8,low_frequency,29,1,1,36
bring,5.27,english,wordfreq,4,1.5,3406,5,1,5.27,high_frequency,8,1,1,37
aerial,3.91,english,wordfreq,2,1.9,461,6,2,3.91,low_frequency,13,1,1,38
lend,3.92,english,wordfreq,13,1.1,15394,4,1,3.92,low_frequency,25,1,1,39
aligned,3.8,english,wordfreq,0,2.75,745,7,3,3.8,low_frequency,22,1,1,40
play,5.61,english,wordfreq,6,1.4,20185,4,1,5.61,high_frequency,29,1,1,41
bali,3.69,english,wordfreq,7,1.5,2109,4,2,3.69,low_frequency,9,1,1,42
outside,5.25,english,wordfreq,0,2.7,19031,7,3,5.25,high_frequency,7,1,1,43
abandon,4.02,english,wordfreq,0,2.7,10,7,3,4.02,low_frequency,7,1,1,44
