word,freq_zipf,language,source,n_density,old20,gender,id,length,n_syllables,frequency,condition,set,list,trial
caldo,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",5,1.65,masculine,1503,5,2,3.75,masculine,45,1,1
puñalada,3.22,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.9,feminine,7975,8,4,3.22,feminine,38,1,2
traba,3.52,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",6,1.6,feminine,9532,5,2,3.52,feminine,45,1,3
cirujano,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.15,masculine,1962,8,4,3.86,masculine,43,1,4
poca,4.69,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",10,1.3,feminine,7523,4,2,4.69,feminine,36,1,5
única,5.16,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.75,feminine,10183,5,3,5.16,feminine,48,1,6
asta,3.58,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",7,1.2,feminine,909,4,2,3.58,feminine,5,1,7
mostrara,3.11,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,2.25,feminine,6437,8,3,3.11,feminine,31,1,8
taza,4.04,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",10,1.4,feminine,9302,4,2,4.04,feminine,44,1,9
mango,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",8,1.45,masculine,5990,5,2,3.86,masculine,10,1,10
estela,3.77,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,1.9,feminine,3935,6,3,3.77,feminine,19,1,11
ciclismo,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.35,masculine,1927,8,3,3.75,masculine,31,1,12
china,5,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.75,feminine,1899,5,2,5,feminine,10,1,13
empeño,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,2.3,masculine,3565,6,3,3.75,masculine,6,1,14
