word,freq_zipf,language,source,n_density,old20,id,length,frequency,condition,set,list,trial
actor,4.65,english,wordfreq,1,1.85,273,5,4.65,sparse_neighbourhood,41,1,1
sums,3.9,english,wordfreq,9,1.35,26131,4,3.9,dense_neighbourhood,38,1,2
five,5.45,english,wordfreq,11,1.35,10320,4,5.45,dense_neighbourhood,45,1,3
india,5.04,english,wordfreq,1,1.9,13511,5,5.04,sparse_neighbourhood,31,1,4
offer,5.05,english,wordfreq,0,1.95,18633,5,5.05,sparse_neighbourhood,11,1,5
aged,4.5,english,wordfreq,1,1.7,540,4,4.5,sparse_neighbourhood,28,1,6
echo,4.04,english,wordfreq,0,1.9,8543,4,4.04,sparse_neighbourhood,53,1,7
needs,5.37,english,wordfreq,8,1.55,17994,5,5.37,dense_neighbourhood,31,1,8
any,6.07,english,wordfreq,11,1.15,1197,3,6.07,dense_neighbourhood,44,1,9
carl,4.24,english,wordfreq,15,1,4066,4,4.24,dense_neighbourhood,58,1,10
arena,4.33,english,wordfreq,1,1.85,1398,5,4.33,sparse_neighbourhood,18,1,11
depth,4.55,english,wordfreq,1,1.85,7275,5,4.55,sparse_neighbourhood,8,1,12
euro,4.09,english,wordfreq,0,1.85,9350,4,4.09,sparse_neighbourhood,67,1,13
pay,5.4,english,wordfreq,34,1,19545,3,5.4,dense_neighbourhood,79,1,14
react,4.16,english,wordfreq,1,1.9,21718,5,4.16,sparse_neighbourhood,13,1,15
blues,4.34,english,wordfreq,1,1.9,2935,5,4.34,sparse_neighbourhood,30,1,16
apart,4.78,english,wordfreq,0,1.95,1216,5,4.78,sparse_neighbourhood,33,1,17
utah,4.23,english,wordfreq,0,2,28442,4,4.23,sparse_neighbourhood,58,1,18
jerk,4,english,wordfreq,1,1.85,14405,4,4,sparse_neighbourhood,46,1,19
bitch,4.76,english,wordfreq,9,1.45,2762,5,4.76,dense_neighbourhood,34,1,20
item,4.57,english,wordfreq,1,1.9,14252,4,4.57,sparse_neighbourhood,21,1,21
while,5.86,english,wordfreq,5,1.7,29358,5,5.86,dense_neighbourhood,12,1,22
less,5.49,english,wordfreq,14,1.2,15432,4,5.49,dense_neighbourhood,56,1,23
cord,3.98,english,wordfreq,12,1.15,6049,4,3.98,dense_neighbourhood,48,1,24
ferry,4.02,english,wordfreq,9,1.55,10089,5,4.02,dense_neighbourhood,35,1,25
buzz,4.05,english,wordfreq,1,1.95,3740,4,4.05,sparse_neighbourhood,59,1,26
dating,4.7,english,wordfreq,5,1.75,6830,6,4.7,dense_neighbourhood,3,1,27
park,5.16,english,wordfreq,10,1.25,19363,4,5.16,dense_neighbourhood,42,1,28
fill,4.64,english,wordfreq,16,1,10188,4,4.64,dense_neighbourhood,61,1,29
http,4.81,english,wordfreq,0,1.95,12955,4,4.81,sparse_neighbourhood,20,1,30
plate,4.55,english,wordfreq,5,1.5,20171,5,4.55,dense_neighbourhood,8,1,31
tale,4.29,english,wordfreq,18,1,26548,4,4.29,dense_neighbourhood,66,1,32
nazi,4.28,english,wordfreq,0,1.9,17946,4,4.28,sparse_neighbourhood,78,1,33
visit,5.04,english,wordfreq,0,1.95,28849,5,5.04,sparse_neighbourhood,44,1,34
rely,4.29,english,wordfreq,1,1.7,22207,4,4.29,sparse_neighbourhood,66,1,35
ryan,4.59,english,wordfreq,0,1.8,23202,4,4.59,sparse_neighbourhood,52,1,36
ally,4.1,english,wordfreq,0,1.65,801,4,4.1,sparse_neighbourhood,25,1,37
xbox,4.19,english,wordfreq,0,1.95,29780,4,4.19,sparse_neighbourhood,75,1,38
hooked,3.92,english,wordfreq,5,1.75,12809,6,3.92,dense_neighbourhood,5,1,39
cars,4.89,english,wordfreq,25,1,4115,4,4.89,dense_neighbourhood,73,1,40
album,5.02,english,wordfreq,0,2.3,683,5,5.02,sparse_neighbourhood,29,1,41
alert,4.33,english,wordfreq,1,1.85,703,5,4.33,sparse_neighbourhood,2,1,42
olds,3.98,english,wordfreq,1,1.6,18687,4,3.98,sparse_neighbourhood,47,1,43
piece,5.04,english,wordfreq,1,1.8,19996,5,5.04,sparse_neighbourhood,32,1,44
top,5.57,english,wordfreq,22,1,27317,3,5.57,dense_neighbourhood,71,1,45
train,4.96,english,wordfreq,7,1.45,27481,5,4.96,dense_neighbourhood,27,1,46
pack,4.66,english,wordfreq,17,1,19172,4,4.66,dense_neighbourhood,64,1,47
tick,3.8,english,wordfreq,12,1.15,27122,4,3.8,dense_neighbourhood,50,1,48
iowa,4.33,english,wordfreq,1,1.95,14129,4,4.33,sparse_neighbourhood,60,1,49
