word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,list,trial
then,6.07,english,wordfreq,12,1.25,26945,4,1,6.07,HF_largeN,16,1,1
off,5.93,english,wordfreq,5,1.55,18620,3,1,5.93,HF_smallN,1,1,2
was,6.82,english,wordfreq,26,1.0,29110,3,1,6.82,HF_largeN,18,1,3
bhp,2.97,english,wordfreq,4,1.65,2645,3,0,2.97,LF_smallN,9,1,4
bake,3.91,english,wordfreq,16,1.0,2088,4,2,3.91,LF_largeN,13,1,5
hell,5.1,english,wordfreq,18,1.0,12450,4,1,5.1,HF_largeN,4,1,6
abe,3.62,english,wordfreq,21,1.0,33,3,2,3.62,LF_largeN,10,1,7
her,6.3,english,wordfreq,21,1.0,12492,3,1,6.3,HF_largeN,17,1,8
bans,3.69,english,wordfreq,19,1.0,2178,4,1,3.69,LF_largeN,16,1,9
bail,4.01,english,wordfreq,14,1.15,2076,4,1,4.01,LF_largeN,11,1,10
ask,5.34,english,wordfreq,12,1.05,1574,3,1,5.34,HF_largeN,9,1,11
blue,5.13,english,wordfreq,3,1.75,2929,4,1,5.13,HF_smallN,13,1,12
acer,3.13,english,wordfreq,2,1.8,201,4,2,3.13,LF_smallN,7,1,13
take,5.92,english,wordfreq,13,1.05,26534,4,2,5.92,HF_largeN,15,1,14
less,5.49,english,wordfreq,14,1.2,15432,4,1,5.49,HF_largeN,11,1,15
abs,3.86,english,wordfreq,29,1.0,74,3,1,3.86,LF_largeN,18,1,16
bain,3.23,english,wordfreq,12,1.1,2082,4,1,3.23,LF_largeN,12,1,17
done,5.58,english,wordfreq,20,1.0,8087,4,2,5.58,HF_largeN,13,1,18
door,5.08,english,wordfreq,5,1.6,8109,4,1,5.08,HF_smallN,18,1,19
baby,5.26,english,wordfreq,3,1.75,2006,4,2,5.26,HF_smallN,12,1,20
pay,5.4,english,wordfreq,34,1.0,19545,3,1,5.4,HF_largeN,10,1,21
abi,3.3,english,wordfreq,19,1.0,39,3,2,3.3,LF_largeN,17,1,22
king,5.17,english,wordfreq,17,1.0,14871,4,1,5.17,HF_largeN,6,1,23
own,5.74,english,wordfreq,2,1.55,19140,3,1,5.74,HF_smallN,2,1,24
