word,freq_zipf,language,source,n_density,old20,id,length,frequency,condition,set,list,trial
blues,4.34,english,wordfreq,1,1.9,2935,5,4.34,sparse_neighbourhood,30,1,1
born,5.09,english,wordfreq,14,1.15,3117,4,5.09,dense_neighbourhood,55,1,2
dip,4.05,english,wordfreq,24,1.0,7630,3,4.05,dense_neighbourhood,72,1,3
pay,5.4,english,wordfreq,34,1.0,19543,3,5.4,dense_neighbourhood,79,1,4
bitch,4.76,english,wordfreq,9,1.45,2762,5,4.76,dense_neighbourhood,34,1,5
spell,4.37,english,wordfreq,5,1.6,25225,5,4.37,dense_neighbourhood,10,1,6
five,5.45,english,wordfreq,11,1.35,10320,4,5.45,dense_neighbourhood,45,1,7
sheep,4.19,english,wordfreq,6,1.65,24125,5,4.19,dense_neighbourhood,19,1,8
adam,4.57,english,wordfreq,1,1.7,287,4,4.57,sparse_neighbourhood,15,1,9
fill,4.64,english,wordfreq,16,1.0,10188,4,4.64,dense_neighbourhood,61,1,10
lid,3.81,english,wordfreq,27,1.0,15531,3,3.81,dense_neighbourhood,75,1,11
piece,5.04,english,wordfreq,1,1.8,19994,5,5.04,sparse_neighbourhood,32,1,12
ham,4.12,english,wordfreq,32,1.0,12074,3,4.12,dense_neighbourhood,78,1,13
eggs,4.5,english,wordfreq,1,1.9,8648,4,4.5,sparse_neighbourhood,49,1,14
room,5.39,english,wordfreq,8,1.35,22992,4,5.39,dense_neighbourhood,32,1,15
ugh,4.22,english,wordfreq,1,1.75,27950,3,4.22,sparse_neighbourhood,65,1,16
ipad,4.1,english,wordfreq,1,1.8,14132,4,4.1,sparse_neighbourhood,69,1,17
alert,4.33,english,wordfreq,1,1.85,703,5,4.33,sparse_neighbourhood,2,1,18
ugly,4.42,english,wordfreq,0,2.0,27953,4,4.42,sparse_neighbourhood,73,1,19
keys,4.39,english,wordfreq,0,1.9,14792,4,4.39,sparse_neighbourhood,40,1,20
dates,4.54,english,wordfreq,13,1.3,6829,5,4.54,dense_neighbourhood,51,1,21
utah,4.23,english,wordfreq,0,2.0,28440,4,4.23,sparse_neighbourhood,58,1,22
plea,3.95,english,wordfreq,1,1.7,20209,4,3.95,sparse_neighbourhood,7,1,23
ally,4.1,english,wordfreq,0,1.65,801,4,4.1,sparse_neighbourhood,25,1,24
bible,4.54,english,wordfreq,0,1.9,2654,5,4.54,sparse_neighbourhood,51,1,25
buzz,4.05,english,wordfreq,1,1.95,3740,4,4.05,sparse_neighbourhood,59,1,26
thing,5.72,english,wordfreq,5,1.55,26996,5,5.72,dense_neighbourhood,11,1,27
meal,4.48,english,wordfreq,12,1.1,16701,4,4.48,dense_neighbourhood,49,1,28
india,5.04,english,wordfreq,1,1.9,13511,5,5.04,sparse_neighbourhood,31,1,29
depot,3.95,english,wordfreq,0,1.85,7261,5,3.95,sparse_neighbourhood,14,1,30
below,5.05,english,wordfreq,0,1.95,2524,5,5.05,sparse_neighbourhood,6,1,31
dylan,4.05,english,wordfreq,1,1.95,8461,5,4.05,sparse_neighbourhood,43,1,32
parks,4.33,english,wordfreq,6,1.6,19367,5,4.33,dense_neighbourhood,18,1,33
jeff,4.45,english,wordfreq,0,1.95,14380,4,4.45,sparse_neighbourhood,61,1,34
les,4.1,english,wordfreq,30,1.0,15424,3,4.1,dense_neighbourhood,77,1,35
flag,4.58,english,wordfreq,6,1.5,10335,4,4.58,dense_neighbourhood,15,1,36
lmao,4.28,english,wordfreq,0,1.85,15738,4,4.28,sparse_neighbourhood,77,1,37
carol,4.02,english,wordfreq,0,1.85,4088,5,4.02,sparse_neighbourhood,35,1,38
blake,4.16,english,wordfreq,6,1.6,2810,5,4.16,dense_neighbourhood,13,1,39
wrote,5.04,english,wordfreq,1,1.95,29755,5,5.04,sparse_neighbourhood,45,1,40
talk,5.42,english,wordfreq,6,1.5,26553,4,5.42,dense_neighbourhood,20,1,41
brands,4.32,english,wordfreq,5,1.65,3269,6,4.32,dense_neighbourhood,2,1,42
jerk,4.0,english,wordfreq,1,1.85,14405,4,4.0,sparse_neighbourhood,46,1,43
cord,3.98,english,wordfreq,12,1.15,6049,4,3.98,dense_neighbourhood,48,1,44
loan,4.68,english,wordfreq,6,1.4,15749,4,4.68,dense_neighbourhood,17,1,45
