item,condition,prime,target,set,prime.freq_zipf,prime.n_density,prime.old20,prime.length,prime.n_syllables,prime.frequency,target.freq_zipf,target.n_density,target.old20,target.length,target.n_syllables,target.frequency,pair.lev,pair.overlap,list,trial
8,related,pepper,salt,11,4.14,1,1.9,6,2,4.14,4.6,5,1.45,4,1,4.6,6,0,1,1
5,related,cold,hot,8,5.02,14,1.05,4,1,5.02,5.16,27,1,3,1,5.16,3,0.25,1,2
6,unrelated,river,black,9,5.03,5,1.6,5,2,5.03,5.46,4,1.65,5,1,5.46,5,0,1,3
2,unrelated,table,cat,5,5.05,4,1.55,5,2,5.05,4.78,32,1,3,1,4.78,4,0.2,1,4
4,unrelated,planet,bread,7,4.68,1,1.8,6,2,4.68,4.5,5,1.5,5,1,4.5,6,0,1,5
3,related,queen,king,6,4.86,1,1.9,5,1,4.86,5.17,17,1,4,1,5.17,5,0,1,6
9,unrelated,carpet,day,12,4.18,0,1.95,6,2,4.18,5.95,34,1,3,1,5.95,5,0.166666667,1,7
12,related,saucer,cup,4,3.06,1,2.05,6,2,3.06,5.11,14,1,3,1,5.11,5,0.166666667,1,8
3,unrelated,pencil,king,6,3.95,0,2.65,6,2,3.95,5.17,17,1,4,1,5.17,5,0.166666667,2,1
2,related,dog,cat,5,5.1,19,1,3,1,5.1,4.78,32,1,3,1,4.78,3,0,2,2
5,unrelated,paper,hot,8,5.07,3,1.8,5,2,5.07,5.16,27,1,3,1,5.16,5,0,2,3
8,unrelated,engine,salt,11,4.84,0,2.15,6,3,4.84,4.6,5,1.45,4,1,4.6,6,0,2,4
9,related,night,day,12,5.61,8,1.4,5,1,5.61,5.95,34,1,3,1,5.95,5,0,2,5
12,unrelated,tractor,cup,4,3.78,1,2.2,7,2,3.78,5.11,14,1,3,1,5.11,6,0.142857143,2,6
4,related,butter,bread,7,4.4,8,1.5,6,2,4.4,4.5,5,1.5,5,1,4.5,5,0.166666667,2,7
6,related,white,black,9,5.51,6,1.6,5,2,5.51,5.46,4,1.65,5,1,5.46,5,0,2,8
