word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,list,trial
ano,3.83,spanish,wordfreq,16,1.0,1602,3,2,3.83,low_frequency,25,1,1
cual,5.65,spanish,wordfreq,3,1.8,7380,4,1,5.65,high_frequency,55,1,2
actas,3.92,spanish,wordfreq,3,1.8,403,5,2,3.92,low_frequency,57,1,3
acusado,4.35,spanish,wordfreq,3,1.75,488,7,4,4.35,low_frequency,22,1,4
nuestras,5.21,spanish,wordfreq,3,2.2,19681,8,2,5.21,high_frequency,4,1,5
allá,5.2,spanish,wordfreq,4,1.7,1196,4,2,5.2,high_frequency,1,1,6
deja,5.23,spanish,wordfreq,10,1.25,8106,4,2,5.23,high_frequency,7,1,7
amargo,3.83,spanish,wordfreq,1,1.85,1337,6,3,3.83,low_frequency,33,1,8
hacer,6.07,spanish,wordfreq,5,1.6,13831,5,2,6.07,high_frequency,74,1,9
siento,5.26,spanish,wordfreq,6,1.65,26065,6,2,5.26,high_frequency,15,1,10
palmas,4.06,spanish,wordfreq,1,1.75,20553,6,2,4.06,low_frequency,69,1,11
ray,4.07,spanish,wordfreq,20,1.0,23611,3,1,4.07,low_frequency,80,1,12
app,4.35,spanish,wordfreq,5,1.6,1891,3,1,4.35,low_frequency,77,1,13
miras,4.2,spanish,wordfreq,10,1.35,18517,5,2,4.2,low_frequency,18,1,14
cool,3.92,spanish,wordfreq,3,1.8,6889,4,1,3.92,low_frequency,55,1,15
queda,5.28,spanish,wordfreq,10,1.35,23309,5,2,5.28,high_frequency,18,1,16
amigas,4.34,spanish,wordfreq,1,1.85,1413,6,3,4.34,low_frequency,47,1,17
voz,5.2,spanish,wordfreq,7,1.55,29542,3,1,5.2,high_frequency,3,1,18
sabe,5.37,spanish,wordfreq,6,1.45,25221,4,2,5.37,high_frequency,30,1,19
andan,4.14,spanish,wordfreq,4,1.7,1518,5,2,4.14,low_frequency,58,1,20
lean,3.93,spanish,wordfreq,10,1.35,16559,4,1,3.93,low_frequency,73,1,21
mis,5.7,spanish,wordfreq,24,1.0,18530,3,1,5.7,high_frequency,59,1,22
guerra,5.49,spanish,wordfreq,0,1.95,13654,6,2,5.49,high_frequency,44,1,23
baje,3.97,spanish,wordfreq,7,1.5,2981,4,2,3.97,low_frequency,17,1,24
activar,3.82,spanish,wordfreq,2,2.25,413,7,3,3.82,low_frequency,27,1,25
aborto,4.36,spanish,wordfreq,0,1.95,75,6,3,4.36,low_frequency,44,1,26
mejor,5.95,spanish,wordfreq,2,1.75,18084,5,2,5.95,high_frequency,71,1,27
acusa,4.02,spanish,wordfreq,4,1.7,483,5,3,4.02,low_frequency,6,1,28
pasado,5.55,spanish,wordfreq,7,1.5,20826,6,3,5.55,high_frequency,49,1,29
ram,3.84,spanish,wordfreq,20,1.0,23538,3,1,3.84,low_frequency,78,1,30
apoya,4.4,spanish,wordfreq,3,1.7,1870,5,2,4.4,low_frequency,12,1,31
aca,4.4,spanish,wordfreq,20,1.0,165,3,2,4.4,low_frequency,59,1,32
adoro,3.87,spanish,wordfreq,2,1.85,634,5,3,3.87,low_frequency,32,1,33
ello,5.31,spanish,wordfreq,2,1.6,10109,4,2,5.31,high_frequency,23,1,34
ademas,4.27,spanish,wordfreq,1,1.9,535,6,3,4.27,low_frequency,34,1,35
admito,3.81,spanish,wordfreq,2,2.2,601,6,3,3.81,low_frequency,76,1,36
mito,4.18,spanish,wordfreq,16,1.0,18570,4,2,4.18,low_frequency,79,1,37
manera,5.61,spanish,wordfreq,4,1.7,17584,6,3,5.61,high_frequency,53,1,38
angela,3.8,spanish,wordfreq,3,1.8,1558,6,3,3.8,low_frequency,9,1,39
azar,4.15,spanish,wordfreq,2,1.65,2897,4,2,4.15,low_frequency,16,1,40
pasar,5.34,spanish,wordfreq,9,1.3,20838,5,2,5.34,high_frequency,26,1,41
world,4.34,spanish,wordfreq,1,2.15,29715,5,1,4.34,low_frequency,54,1,42
caza,4.38,spanish,wordfreq,20,1.0,4734,4,2,4.38,low_frequency,31,1,43
historia,5.67,spanish,wordfreq,1,2.4,14187,8,3,5.67,high_frequency,56,1,44
uno,5.96,spanish,wordfreq,8,1.4,28579,3,2,5.96,high_frequency,72,1,45
durante,5.8,spanish,wordfreq,0,2.45,9716,7,3,5.8,high_frequency,65,1,46
millones,5.46,spanish,wordfreq,2,2.65,18436,8,3,5.46,high_frequency,41,1,47
ajena,4.02,spanish,wordfreq,4,1.75,946,5,3,4.02,low_frequency,66,1,48
bebida,4.16,spanish,wordfreq,2,1.9,3225,6,3,4.16,low_frequency,13,1,49
alli,4.14,spanish,wordfreq,4,1.7,1192,4,2,4.14,low_frequency,1,1,50
borde,4.36,spanish,wordfreq,3,1.75,3605,5,2,4.36,low_frequency,28,1,51
asesino,4.35,spanish,wordfreq,2,2.4,2369,7,4,4.35,low_frequency,38,1,52
somos,5.38,spanish,wordfreq,2,1.85,26476,5,2,5.38,high_frequency,32,1,53
norte,5.2,spanish,wordfreq,3,1.8,19590,5,2,5.2,high_frequency,2,1,54
velo,3.85,spanish,wordfreq,6,1.45,28917,4,2,3.85,low_frequency,42,1,55
adios,3.81,spanish,wordfreq,2,1.75,553,5,2,3.81,low_frequency,21,1,56
bell,3.81,spanish,wordfreq,8,1.4,3258,4,1,3.81,low_frequency,60,1,57
dentro,5.53,spanish,wordfreq,1,1.85,8298,6,2,5.53,high_frequency,47,1,58
abren,4.05,spanish,wordfreq,3,1.8,92,5,2,4.05,low_frequency,2,1,59
aldea,4.3,spanish,wordfreq,0,1.95,1041,5,2,4.3,low_frequency,67,1,60
serie,5.22,spanish,wordfreq,4,1.7,25893,5,2,5.22,high_frequency,6,1,61
nunca,5.84,spanish,wordfreq,0,1.95,19708,5,2,5.84,high_frequency,67,1,62
explico,3.93,spanish,wordfreq,2,2.45,11775,7,3,3.93,low_frequency,41,1,63
aguilar,3.95,spanish,wordfreq,0,2.45,895,7,3,3.95,low_frequency,45,1,64
viene,5.29,spanish,wordfreq,2,1.75,29200,5,2,5.29,high_frequency,21,1,65
fácil,5.24,spanish,wordfreq,1,2.5,12933,5,2,5.24,high_frequency,10,1,66
incluso,5.41,spanish,wordfreq,1,2.3,14915,7,3,5.41,high_frequency,35,1,67
segundo,5.35,spanish,wordfreq,2,2.25,25692,7,3,5.35,high_frequency,27,1,68
julio,5.26,spanish,wordfreq,3,1.85,16198,5,2,5.26,high_frequency,14,1,69
derecho,5.44,spanish,wordfreq,2,2.4,8366,7,3,5.44,high_frequency,38,1,70
hayas,4.3,spanish,wordfreq,8,1.55,13975,5,1,4.3,low_frequency,64,1,71
atras,4.02,spanish,wordfreq,5,1.6,2603,5,2,4.02,low_frequency,74,1,72
compré,4.13,spanish,wordfreq,4,1.8,5977,6,2,4.13,low_frequency,48,1,73
antes,5.82,spanish,wordfreq,4,1.75,1647,5,2,5.82,high_frequency,66,1,74
altar,4.04,spanish,wordfreq,3,1.65,1246,5,2,4.04,low_frequency,70,1,75
realidad,5.42,spanish,wordfreq,0,2.4,23664,8,3,5.42,high_frequency,36,1,76
chat,4.1,spanish,wordfreq,6,1.45,5012,4,1,4.1,low_frequency,30,1,77
ser,6.27,spanish,wordfreq,23,1.0,25872,3,1,6.27,high_frequency,78,1,78
digo,5.28,spanish,wordfreq,7,1.5,9082,4,2,5.28,high_frequency,17,1,79
cobran,3.92,spanish,wordfreq,6,1.65,5416,6,2,3.92,low_frequency,15,1,80
siendo,5.45,spanish,wordfreq,4,1.8,26058,6,2,5.45,high_frequency,40,1,81
obra,5.27,spanish,wordfreq,2,1.65,19783,4,2,5.27,high_frequency,16,1,82
estado,5.89,spanish,wordfreq,1,1.75,11254,6,3,5.89,high_frequency,69,1,83
mierda,5.43,spanish,wordfreq,1,1.9,18381,6,2,5.43,high_frequency,37,1,84
ley,5.6,spanish,wordfreq,15,1.05,16721,3,1,5.6,high_frequency,52,1,85
grita,3.98,spanish,wordfreq,9,1.3,13564,5,2,3.98,low_frequency,26,1,86
porque,6.14,spanish,wordfreq,2,2.2,22049,6,2,6.14,high_frequency,76,1,87
puedes,5.44,spanish,wordfreq,3,1.8,23156,6,2,5.44,high_frequency,39,1,88
hombre,5.58,spanish,wordfreq,3,1.8,14237,6,2,5.58,high_frequency,51,1,89
mas,5.87,spanish,wordfreq,37,1.0,17852,3,1,5.87,high_frequency,68,1,90
seguro,5.39,spanish,wordfreq,1,1.85,25698,6,3,5.39,high_frequency,33,1,91
mano,5.38,spanish,wordfreq,20,1.0,17624,4,2,5.38,high_frequency,31,1,92
quieres,5.3,spanish,wordfreq,3,1.75,23419,7,2,5.3,high_frequency,22,1,93
las,6.99,spanish,wordfreq,28,1.0,16495,3,1,6.99,high_frequency,80,1,94
africa,4.16,spanish,wordfreq,1,1.9,755,6,3,4.16,low_frequency,37,1,95
consta,4.3,spanish,wordfreq,1,1.75,6495,6,2,4.3,low_frequency,63,1,96
atenas,3.87,spanish,wordfreq,3,1.8,2535,6,3,3.87,low_frequency,39,1,97
casa,5.77,spanish,wordfreq,28,1.0,4580,4,2,5.77,high_frequency,62,1,98
padre,5.36,spanish,wordfreq,3,1.75,20469,5,2,5.36,high_frequency,28,1,99
lara,4.09,spanish,wordfreq,20,1.0,16481,4,2,4.09,low_frequency,62,1,100
luego,5.69,spanish,wordfreq,4,1.7,17269,5,2,5.69,high_frequency,58,1,101
nada,6.02,spanish,wordfreq,10,1.3,19202,4,2,6.02,high_frequency,73,1,102
méxico,5.54,spanish,wordfreq,4,1.8,19135,6,3,5.54,high_frequency,48,1,103
coro,4.16,spanish,wordfreq,20,1.0,6954,4,2,4.16,low_frequency,43,1,104
asistió,3.9,spanish,wordfreq,1,2.3,2420,7,3,3.9,low_frequency,35,1,105
angel,4.15,spanish,wordfreq,2,1.75,1557,5,2,4.15,low_frequency,29,1,106
así,6.12,spanish,wordfreq,8,1.45,2505,3,2,6.12,high_frequency,75,1,107
camina,3.99,spanish,wordfreq,7,1.5,4198,6,3,3.99,low_frequency,49,1,108
todas,5.78,spanish,wordfreq,8,1.55,27789,5,2,5.78,high_frequency,64,1,109
láser,3.8,spanish,wordfreq,1,2.45,17325,5,2,3.8,low_frequency,10,1,110
medios,5.29,spanish,wordfreq,1,1.85,18064,6,2,5.29,high_frequency,20,1,111
será,5.56,spanish,wordfreq,4,1.65,25925,4,2,5.56,high_frequency,50,1,112
estar,5.74,spanish,wordfreq,3,1.5,11287,5,2,5.74,high_frequency,61,1,113
pasa,5.48,spanish,wordfreq,21,1.0,20821,4,2,5.48,high_frequency,43,1,114
afueras,3.98,spanish,wordfreq,0,2.4,767,7,3,3.98,low_frequency,36,1,115
según,5.62,spanish,wordfreq,1,2.15,25704,5,2,5.62,high_frequency,54,1,116
libre,5.25,spanish,wordfreq,3,1.7,16775,5,2,5.25,high_frequency,12,1,117
pero,6.57,spanish,wordfreq,16,1.0,21376,4,2,6.57,high_frequency,79,1,118
cerca,5.37,spanish,wordfreq,2,1.75,4888,5,2,5.37,high_frequency,29,1,119
compro,4.04,spanish,wordfreq,4,1.8,5955,6,2,4.04,low_frequency,40,1,120
abogada,3.95,spanish,wordfreq,1,2.4,57,7,4,3.95,low_frequency,56,1,121
comentó,4.24,spanish,wordfreq,5,1.75,5678,7,3,4.24,low_frequency,11,1,122
arias,3.94,spanish,wordfreq,5,1.6,2102,5,2,3.94,low_frequency,46,1,123
ante,5.48,spanish,wordfreq,6,1.45,1631,4,2,5.48,high_frequency,42,1,124
