word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,list,trial
bust,4.04,english,wordfreq,11,1.1,3709,4,1,4.04,low_frequency,25,1,1
above,5.2,english,wordfreq,1,1.95,65,5,3,5.2,high_frequency,1,1,2
fred,4.21,english,wordfreq,6,1.35,10811,4,1,4.21,low_frequency,9,1,3
allah,3.89,english,wordfreq,1,1.95,755,5,2,3.89,low_frequency,1,1,4
accent,4.14,english,wordfreq,2,1.85,125,6,2,4.14,low_frequency,28,1,5
archive,3.98,english,wordfreq,0,2.5,1386,7,3,3.98,low_frequency,21,1,6
everyone,5.47,english,wordfreq,0,3.35,9402,8,4,5.47,high_frequency,21,1,7
media,5.3,english,wordfreq,1,1.8,16739,5,2,5.3,high_frequency,10,1,8
think,6.08,english,wordfreq,4,1.7,27001,5,1,6.08,high_frequency,36,1,9
now,6.18,english,wordfreq,22,1,18398,3,1,6.18,high_frequency,37,1,10
ant,3.86,english,wordfreq,22,1,1128,3,1,3.86,low_frequency,37,1,11
number,5.62,english,wordfreq,2,1.85,18437,6,2,5.62,high_frequency,28,1,12
bros,4.08,english,wordfreq,7,1.45,3469,4,1,4.08,low_frequency,29,1,13
armor,3.97,english,wordfreq,1,1.8,1459,5,2,3.97,low_frequency,10,1,14
cargo,4.19,english,wordfreq,4,1.7,4061,5,2,4.19,low_frequency,36,1,15
team,5.67,english,wordfreq,7,1.45,26689,4,1,5.67,high_frequency,29,1,16
bake,3.91,english,wordfreq,16,1,2088,4,2,3.91,low_frequency,11,1,17
read,5.54,english,wordfreq,11,1.05,21728,4,1,5.54,high_frequency,25,1,18
plan,5.29,english,wordfreq,5,1.35,20138,4,1,5.29,high_frequency,9,1,19
deal,5.32,english,wordfreq,16,1,6883,4,1,5.32,high_frequency,11,1,20
week,5.56,english,wordfreq,7,1.55,29236,4,1,5.56,high_frequency,26,2,1
won,5.2,english,wordfreq,21,1,29615,3,1,5.2,high_frequency,2,2,2
those,5.9,english,wordfreq,3,1.8,27037,5,2,5.9,high_frequency,33,2,3
bent,3.99,english,wordfreq,21,1,2564,4,1,3.99,low_frequency,22,2,4
