word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,list,trial
anna,4.37,english,wordfreq,2,1.7,1080,4,2,4.37,low_frequency,14,2,5
thanks,5.43,english,wordfreq,2,1.75,26918,6,1,5.43,high_frequency,19,2,6
food,5.4,english,wordfreq,9,1.4,10549,4,1,5.4,high_frequency,17,2,7
angles,3.9,english,wordfreq,2,1.75,1052,6,2,3.9,low_frequency,19,2,8
cease,4.03,english,wordfreq,3,1.6,4282,5,2,4.03,low_frequency,38,2,9
line,5.49,english,wordfreq,21,1,15624,4,2,5.49,high_frequency,22,2,10
arise,3.93,english,wordfreq,1,1.75,1425,5,3,3.93,low_frequency,13,2,11
company,5.6,english,wordfreq,0,2.7,5384,7,3,5.6,high_frequency,27,2,12
arrange,4,english,wordfreq,0,2.5,1477,7,3,4,low_frequency,27,2,13
bald,3.83,english,wordfreq,7,1.55,2104,4,1,3.83,low_frequency,26,2,14
beam,4.14,english,wordfreq,9,1.4,2376,4,1,4.14,low_frequency,17,2,15
aaron,4.23,english,wordfreq,3,1.8,5,5,2,4.23,low_frequency,33,2,16
cause,5.35,english,wordfreq,1,1.75,4234,5,2,5.35,high_frequency,13,2,17
there,6.31,english,wordfreq,3,1.6,26967,5,2,6.31,high_frequency,38,2,18
ace,4.11,english,wordfreq,21,1,200,3,2,4.11,low_frequency,2,2,19
idea,5.36,english,wordfreq,2,1.65,13158,4,2,5.36,high_frequency,14,2,20
field,5.24,english,wordfreq,3,1.75,10143,5,1,5.24,high_frequency,5,3,1
gave,5.25,english,wordfreq,16,1.1,11182,4,2,5.25,high_frequency,6,3,2
alice,4.26,english,wordfreq,3,1.75,735,5,3,4.26,low_frequency,5,3,3
nate,3.81,english,wordfreq,16,1.1,17897,4,2,3.81,low_frequency,6,3,4
bid,4.4,english,wordfreq,23,1,2662,3,1,4.4,low_frequency,39,3,5
can,6.46,english,wordfreq,32,1,3911,3,1,6.46,high_frequency,39,3,6
adopt,4.19,english,wordfreq,2,1.85,390,5,2,4.19,low_frequency,18,3,7
acre,3.93,english,wordfreq,2,1.75,245,4,2,3.93,low_frequency,15,3,8
study,5.26,english,wordfreq,1,1.85,25908,5,2,5.26,high_frequency,7,3,9
level,5.41,english,wordfreq,2,1.85,15454,5,2,5.41,high_frequency,18,3,10
yeah,5.37,english,wordfreq,2,1.75,29837,4,1,5.37,high_frequency,15,3,11
anne,4.32,english,wordfreq,4,1.65,1083,4,2,4.32,low_frequency,35,3,12
better,5.76,english,wordfreq,6,1.65,2623,6,2,5.76,high_frequency,31,3,13
graves,3.87,english,wordfreq,6,1.65,11736,6,2,3.87,low_frequency,31,3,14
cheeks,3.82,english,wordfreq,4,1.75,4554,6,1,3.82,low_frequency,4,3,15
baked,3.92,english,wordfreq,4,1.65,2089,5,2,3.92,low_frequency,23,3,16
alert,4.33,english,wordfreq,1,1.85,703,5,2,4.33,low_frequency,7,3,17
based,5.51,english,wordfreq,4,1.65,2267,5,2,5.51,high_frequency,23,3,18
very,6,english,wordfreq,4,1.65,28689,4,2,6,high_frequency,35,3,19
played,5.23,english,wordfreq,4,1.75,20191,6,1,5.23,high_frequency,4,3,20
blade,4.19,english,wordfreq,4,1.75,2805,5,2,4.19,low_frequency,16,4,1
boeing,3.8,english,wordfreq,4,1.75,2986,6,1,3.8,low_frequency,3,4,2
killed,5.22,english,wordfreq,4,1.75,14835,6,2,5.22,high_frequency,3,4,3
large,5.39,english,wordfreq,4,1.75,15151,5,2,5.39,high_frequency,16,4,4
breathe,4.26,english,wordfreq,1,2.15,3319,7,2,4.26,low_frequency,12,4,5
lamp,4.05,english,wordfreq,8,1.35,15094,4,1,4.05,low_frequency,20,4,6
during,5.72,english,wordfreq,3,1.85,8423,6,2,5.72,high_frequency,30,4,7
fits,4.27,english,wordfreq,11,1.3,10311,4,1,4.27,low_frequency,32,4,8
annie,3.94,english,wordfreq,1,1.85,1088,5,2,3.94,low_frequency,8,4,9
mlb,3.85,english,wordfreq,4,1.65,17281,3,0,3.85,low_frequency,40,4,10
water,5.52,english,wordfreq,7,1.45,29137,5,2,5.52,high_frequency,24,4,11
look,5.81,english,wordfreq,11,1.3,15849,4,1,5.81,high_frequency,32,4,12
abc,4.24,english,wordfreq,23,1,24,3,1,4.24,low_frequency,34,4,13
you,6.98,english,wordfreq,4,1.6,29898,3,1,6.98,high_frequency,40,4,14
freed,3.85,english,wordfreq,7,1.45,10818,5,1,3.85,low_frequency,24,4,15
front,5.28,english,wordfreq,1,1.85,10894,5,1,5.28,high_frequency,8,4,16
million,5.33,english,wordfreq,1,2.15,17098,7,2,5.33,high_frequency,12,4,17
kind,5.45,english,wordfreq,8,1.35,14860,4,1,5.45,high_frequency,20,4,18
abused,4,english,wordfreq,3,1.85,101,6,3,4,low_frequency,30,4,19
too,5.95,english,wordfreq,30,1,27304,3,1,5.95,high_frequency,34,4,20
