word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,list,trial
aac,3,english,wordfreq,22,1,3,3,1,3,LF_largeN,2,1,1
abd,3.14,english,wordfreq,16,1.05,25,3,1,3.14,LF_largeN,9,1,2
door,5.08,english,wordfreq,5,1.6,8109,4,1,5.08,HF_smallN,18,1,3
bain,3.23,english,wordfreq,12,1.1,2082,4,1,3.23,LF_largeN,12,1,4
lives,5.14,english,wordfreq,10,1.3,15717,5,2,5.14,HF_largeN,5,1,5
blue,5.13,english,wordfreq,3,1.75,2929,4,1,5.13,HF_smallN,13,1,6
aba,3.32,english,wordfreq,25,1,7,3,2,3.32,LF_largeN,8,1,7
abba,3.15,english,wordfreq,2,1.75,15,4,2,3.15,LF_smallN,4,1,8
club,5.2,english,wordfreq,1,1.85,5033,4,1,5.2,HF_smallN,16,1,9
anti,5.01,english,wordfreq,3,1.75,1149,4,2,5.01,HF_smallN,6,1,10
off,5.93,english,wordfreq,5,1.55,18620,3,1,5.93,HF_smallN,1,1,11
take,5.92,english,wordfreq,13,1.05,26534,4,2,5.92,HF_largeN,15,1,12
away,5.62,english,wordfreq,2,1.85,1964,4,2,5.62,HF_smallN,11,1,13
abe,3.62,english,wordfreq,21,1,33,3,2,3.62,LF_largeN,10,1,14
bake,3.91,english,wordfreq,16,1,2088,4,2,3.91,LF_largeN,13,1,15
aclu,3.24,english,wordfreq,0,1.95,227,4,2,3.24,LF_smallN,12,1,16
pay,5.4,english,wordfreq,34,1,19545,3,1,5.4,HF_largeN,10,1,17
abs,3.86,english,wordfreq,29,1,74,3,1,3.86,LF_largeN,18,1,18
was,6.82,english,wordfreq,26,1,29110,3,1,6.82,HF_largeN,18,1,19
bjp,3.54,english,wordfreq,3,1.7,2780,3,0,3.54,LF_smallN,10,1,20
abel,3.48,english,wordfreq,1,1.7,34,4,2,3.48,LF_smallN,6,1,21
aaa,3.77,english,wordfreq,19,1,2,3,1,3.77,LF_largeN,1,1,22
seen,5.52,english,wordfreq,13,1.1,23797,4,1,5.52,HF_largeN,12,1,23
bane,3.26,english,wordfreq,20,1,2150,4,2,3.26,LF_largeN,15,1,24
aden,3.1,english,wordfreq,2,1.55,324,4,2,3.1,LF_smallN,15,1,25
damn,5.09,english,wordfreq,5,1.6,6750,4,1,5.09,HF_smallN,17,1,26
bale,3.61,english,wordfreq,20,1,2106,4,2,3.61,LF_largeN,14,1,27
sir,5.06,english,wordfreq,23,1,24524,3,1,5.06,HF_largeN,3,1,28
bail,4.01,english,wordfreq,14,1.15,2076,4,1,4.01,LF_largeN,11,1,29
aung,2.97,english,wordfreq,11,1.35,1842,4,1,2.97,LF_largeN,6,1,30
adhd,3.49,english,wordfreq,0,1.95,328,4,1,3.49,LF_smallN,16,1,31
art,5.29,english,wordfreq,19,1,1506,3,1,5.29,HF_largeN,8,1,32
box,5.04,english,wordfreq,21,1,3206,3,1,5.04,HF_largeN,2,1,33
bans,3.69,english,wordfreq,19,1,2178,4,1,3.69,LF_largeN,16,1,34
acre,3.93,english,wordfreq,2,1.75,245,4,2,3.93,LF_smallN,14,1,35
ask,5.34,english,wordfreq,12,1.05,1574,3,1,5.34,HF_largeN,9,1,36
afb,3.02,english,wordfreq,5,1.6,476,3,1,3.02,LF_smallN,1,1,37
shot,5.22,english,wordfreq,9,1.25,24273,4,1,5.22,HF_largeN,7,1,38
you,6.98,english,wordfreq,4,1.6,29898,3,1,6.98,HF_smallN,9,1,39
bmx,2.98,english,wordfreq,4,1.7,2953,3,0,2.98,LF_smallN,18,1,40
less,5.49,english,wordfreq,14,1.2,15432,4,1,5.49,HF_largeN,11,1,41
aap,3.47,english,wordfreq,21,1,4,3,1,3.47,LF_largeN,3,1,42
hell,5.1,english,wordfreq,18,1,12450,4,1,5.1,HF_largeN,4,1,43
her,6.3,english,wordfreq,21,1,12492,3,1,6.3,HF_largeN,17,1,44
ares,3.09,english,wordfreq,12,1,1401,4,2,3.09,LF_largeN,5,1,45
ache,3.43,english,wordfreq,3,1.6,205,4,2,3.43,LF_smallN,11,1,46
blu,3.75,english,wordfreq,4,1.55,2928,3,1,3.75,LF_smallN,17,1,47
acer,3.13,english,wordfreq,2,1.8,201,4,2,3.13,LF_smallN,7,1,48
also,6.19,english,wordfreq,2,1.85,829,4,2,6.19,HF_smallN,5,1,49
own,5.74,english,wordfreq,2,1.55,19140,3,1,5.74,HF_smallN,2,1,50
