word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,list,trial
abi,3.3,english,wordfreq,19,1,39,3,2,3.3,LF_largeN,17,1,51
king,5.17,english,wordfreq,17,1,14871,4,1,5.17,HF_largeN,6,1,52
baby,5.26,english,wordfreq,3,1.75,2006,4,2,5.26,HF_smallN,12,1,53
area,5.46,english,wordfreq,3,1.6,1396,4,2,5.46,HF_smallN,7,1,54
ass,5,english,wordfreq,27,1,1591,3,1,5,HF_largeN,1,1,55
abby,3.56,english,wordfreq,1,1.85,23,4,2,3.56,LF_smallN,5,1,56
two,6.1,english,wordfreq,3,1.7,27905,3,1,6.1,HF_smallN,3,1,57
done,5.58,english,wordfreq,20,1,8087,4,2,5.58,HF_largeN,13,1,58
bhp,2.97,english,wordfreq,4,1.65,2645,3,0,2.97,LF_smallN,9,1,59
bff,2.95,english,wordfreq,2,1.75,2640,3,0,2.95,LF_smallN,8,1,60
army,5.06,english,wordfreq,2,1.8,1467,4,2,5.06,HF_smallN,10,1,61
body,5.4,english,wordfreq,4,1.65,2982,4,2,5.4,HF_smallN,14,1,62
then,6.07,english,wordfreq,12,1.25,26945,4,1,6.07,HF_largeN,16,1,63
acne,3.66,english,wordfreq,3,1.8,229,4,2,3.66,LF_smallN,13,1,64
able,5.43,english,wordfreq,1,1.6,46,4,2,5.43,HF_smallN,4,1,65
aww,3.67,english,wordfreq,3,1.7,1976,3,1,3.67,LF_smallN,2,1,66
babe,4.11,english,wordfreq,10,1.3,2002,4,2,4.11,LF_largeN,7,1,67
come,5.78,english,wordfreq,19,1,5271,4,2,5.78,HF_largeN,14,1,68
why,5.93,english,wordfreq,5,1.6,29417,3,1,5.93,HF_smallN,8,1,69
city,5.61,english,wordfreq,3,1.85,4818,4,2,5.61,HF_smallN,15,1,70
bbq,3.66,english,wordfreq,5,1.7,2354,3,0,3.66,LF_smallN,3,1,71
ames,3.42,english,wordfreq,11,1.05,911,4,2,3.42,LF_largeN,4,1,72
