item,condition,target,category,answer,set,list,trial
5,narrow,turkey,A BIRD?,f,12,1,1
4,broad,parrot,AN ANIMAL?,f,11,1,2
11,broad,hammer,AN OBJECT?,f,3,1,3
3,narrow,beaver,A MAMMAL?,f,10,1,4
9,narrow,carrot,A VEGETABLE?,f,16,1,5
10,narrow,onion,A VEGETABLE?,f,2,1,6
13,broad,kettle,AN OBJECT?,f,5,1,7
8,broad,lemon,A PLANT?,f,15,1,8
7,narrow,apple,A FRUIT?,f,14,1,9
1,broad,robin,AN ANIMAL?,f,1,1,10
6,broad,rabbit,AN ANIMAL?,f,13,1,11
15,broad,copper,A SUBSTANCE?,f,7,1,12
14,narrow,bottle,A CONTAINER?,f,6,1,13
2,broad,salmon,AN ANIMAL?,f,9,1,14
16,narrow,marble,A STONE?,f,8,1,15
12,narrow,shovel,A TOOL?,f,4,1,16
6,narrow,rabbit,A MAMMAL?,f,13,2,1
9,broad,carrot,A PLANT?,f,16,2,2
10,broad,onion,A PLANT?,f,2,2,3
13,narrow,kettle,A CONTAINER?,f,5,2,4
5,broad,turkey,AN ANIMAL?,f,12,2,5
2,narrow,salmon,A FISH?,f,9,2,6
14,broad,bottle,AN OBJECT?,f,6,2,7
1,narrow,robin,A BIRD?,f,1,2,8
15,narrow,copper,A METAL?,f,7,2,9
11,narrow,hammer,A TOOL?,f,3,2,10
8,narrow,lemon,A FRUIT?,f,15,2,11
16,broad,marble,A SUBSTANCE?,f,8,2,12
7,broad,apple,A PLANT?,f,14,2,13
3,broad,beaver,AN ANIMAL?,f,10,2,14
4,narrow,parrot,A BIRD?,f,11,2,15
12,broad,shovel,AN OBJECT?,f,4,2,16
