word,freq_zipf,language,source,n_density,old20,gender,id,length,n_syllables,frequency,condition,set,list,trial
mutuo,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.95,masculine,6501,5,2,3.86,masculine,25,1,31
traba,3.52,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",6,1.6,feminine,9532,5,2,3.52,feminine,45,1,32
nocturna,3.87,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.9,feminine,6662,8,3,3.87,feminine,32,1,33
mostrara,3.11,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,2.25,feminine,6437,8,3,3.11,feminine,31,1,34
ciclismo,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.35,masculine,1927,8,3,3.75,masculine,31,1,35
africa,4.16,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.9,feminine,255,6,3,4.16,feminine,2,1,36
deshonra,3.18,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.2,feminine,3056,8,3,3.18,feminine,15,1,37
fragmento,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.45,masculine,4388,9,3,3.86,masculine,29,1,38
dramático,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.95,masculine,3365,9,4,3.86,masculine,9,1,39
empeño,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,2.3,masculine,3565,6,3,3.75,masculine,6,1,40
puñalada,3.22,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.9,feminine,7975,8,4,3.22,feminine,38,1,41
apesta,3.39,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,1.95,feminine,664,6,3,3.39,feminine,4,1,42
abadía,3.34,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.45,feminine,3,6,3,3.34,feminine,1,1,43
despertado,3.76,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.35,masculine,3079,10,4,3.76,masculine,18,1,44
estela,3.77,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,1.9,feminine,3935,6,3,3.77,feminine,19,1,45
lugo,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",8,1.55,masculine,5853,4,2,3.86,masculine,36,1,46
mojado,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.85,masculine,6355,6,3,3.75,masculine,14,1,47
ético,3.83,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.7,masculine,10158,5,3,3.83,masculine,35,1,48
bolsa,4.64,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.8,feminine,1306,5,2,4.64,feminine,7,1,49
pasivo,3.76,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.8,masculine,7148,6,3,3.76,masculine,40,1,50
retina,3.29,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",4,1.75,feminine,8432,6,3,3.29,feminine,40,1,51
fortaleza,4.29,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.3,feminine,4364,9,4,4.29,feminine,21,1,52
mesita,3.21,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.95,feminine,6226,6,3,3.21,feminine,30,1,53
caldo,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",5,1.65,masculine,1503,5,2,3.75,masculine,45,1,54
china,5.0,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.75,feminine,1899,5,2,5.0,feminine,10,1,55
alumnado,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.75,masculine,465,8,4,3.75,masculine,12,1,56
expulsado,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.55,masculine,4118,9,4,3.86,masculine,21,1,57
burro,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.8,masculine,1413,5,2,3.86,masculine,7,1,58
conteo,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,1.95,masculine,2400,6,2,3.75,masculine,4,1,59
cartagena,4.08,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.45,feminine,1698,9,4,4.08,feminine,9,1,60
biológico,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.9,masculine,1254,9,4,3.75,masculine,11,1,61
entusiasta,3.65,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.75,feminine,3726,10,4,3.65,feminine,18,1,62
cogido,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.85,masculine,2040,6,3,3.75,masculine,1,1,63
primicia,3.25,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.85,feminine,7752,8,3,3.25,feminine,37,1,64
camilo,3.8,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.9,masculine,1555,6,3,3.8,masculine,42,1,65
parecia,3.6,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.8,feminine,7095,7,3,3.6,feminine,34,1,66
hondureña,3.12,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,3.7,feminine,4951,9,4,3.12,feminine,24,1,67
opina,4.06,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.65,feminine,6881,5,3,4.06,feminine,33,1,68
asta,3.58,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",7,1.2,feminine,909,4,2,3.58,feminine,5,1,69
india,4.7,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.75,feminine,5192,5,2,4.7,feminine,25,1,70
jala,3.2,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",11,1.3,feminine,5449,4,2,3.2,feminine,26,1,71
mango,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",8,1.45,masculine,5990,5,2,3.86,masculine,10,1,72
asado,3.85,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",5,1.55,masculine,847,5,3,3.85,masculine,33,1,73
asignado,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.5,masculine,882,8,4,3.86,masculine,32,1,74
poca,4.69,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",10,1.3,feminine,7523,4,2,4.69,feminine,36,1,75
cirujano,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.15,masculine,1962,8,4,3.86,masculine,43,1,76
redonda,3.89,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.5,feminine,8194,7,3,3.89,feminine,39,1,77
perla,3.83,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.7,feminine,7319,5,2,3.83,feminine,35,1,78
severa,3.8,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.85,feminine,8851,6,3,3.8,feminine,42,1,79
sospecha,4.09,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.9,feminine,9063,8,3,4.09,feminine,43,1,80
eléctrica,4.43,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,3.1,feminine,3524,9,4,4.43,feminine,17,1,81
maravilla,4.17,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.85,feminine,6036,9,4,4.17,feminine,29,1,82
lucha,5.09,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",8,1.4,feminine,5839,5,2,5.09,feminine,28,1,83
agrado,3.77,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.8,masculine,282,6,3,3.77,masculine,19,1,84
dieciocho,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.95,masculine,3173,9,3,3.75,masculine,20,1,85
chavismo,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.1,masculine,1883,8,3,3.75,masculine,15,1,86
durango,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.6,masculine,3397,7,3,3.75,masculine,47,1,87
fabricada,3.29,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.55,feminine,4153,9,4,3.29,feminine,20,1,88
calcuta,3.35,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.6,feminine,1501,7,3,3.35,feminine,8,1,89
hemisferio,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,4.4,masculine,4855,10,4,3.75,masculine,13,1,90
cráneo,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.7,masculine,2614,6,2,3.86,masculine,2,1,91
ejecutado,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.55,masculine,3472,9,5,3.86,masculine,16,1,92
gemela,3.35,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.4,feminine,4552,6,3,3.35,feminine,22,1,93
debida,3.73,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.75,feminine,2807,6,3,3.73,feminine,14,1,94
comparada,3.7,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.95,feminine,2127,9,4,3.7,feminine,11,1,95
letra,4.61,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.9,feminine,5651,5,2,4.61,feminine,27,1,96
