word,freq_zipf,language,source,n_density,old20,gender,id,length,n_syllables,frequency,condition,set,list,trial
hoyo,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.85,masculine,4977,4,1,3.75,masculine,5,1,1
zapato,3.76,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.45,masculine,10107,6,3,3.76,masculine,41,1,2
sacada,3.48,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",4,1.75,feminine,8635,6,3,3.48,feminine,41,1,3
divertida,4.02,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.75,feminine,3295,9,4,4.02,feminine,16,1,4
guita,3.39,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.8,feminine,4756,5,2,3.39,feminine,23,1,5
contaría,3.19,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,1.95,feminine,2390,8,3,3.19,feminine,12,1,6
orientado,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.55,masculine,6928,9,4,3.75,masculine,24,1,7
encerrado,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,2.4,masculine,3607,9,4,3.86,masculine,17,1,8
calzado,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.75,masculine,1531,7,3,3.75,masculine,34,1,9
cronología,3.71,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,3.9,feminine,2602,10,4,3.71,feminine,13,1,10
tango,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",6,1.65,masculine,9271,5,2,3.86,masculine,27,1,11
graduado,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.7,masculine,4671,8,3,3.75,masculine,37,1,12
arquero,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.75,masculine,790,7,3,3.75,masculine,8,1,13
fierro,3.76,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.85,masculine,4263,6,2,3.76,masculine,30,1,14
niego,3.85,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",5,1.75,masculine,6640,5,2,3.85,masculine,48,1,15
prieto,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.0,masculine,7744,6,2,3.75,masculine,22,1,16
amlo,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,1.9,masculine,517,4,2,3.86,masculine,3,1,17
alza,4.13,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",6,1.6,feminine,469,4,2,4.13,feminine,3,1,18
trago,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",8,1.5,masculine,9549,5,2,3.86,masculine,28,1,19
pego,3.76,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",8,1.45,masculine,7224,4,2,3.76,masculine,46,1,20
orgánico,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",1,2.8,masculine,6924,8,4,3.75,masculine,38,1,21
taza,4.04,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",10,1.4,feminine,9302,4,2,4.04,feminine,44,1,22
trío,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.8,masculine,9646,4,1,3.75,masculine,26,1,23
velo,3.85,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",6,1.45,masculine,9852,4,2,3.85,masculine,44,1,24
cacao,3.75,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.85,masculine,1461,5,2,3.75,masculine,23,1,25
vaga,3.63,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",14,1.2,feminine,9774,4,2,3.63,feminine,46,1,26
armario,3.86,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.25,masculine,778,7,3,3.86,masculine,39,1,27
balada,3.18,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",3,1.85,feminine,1104,6,3,3.18,feminine,6,1,28
vincula,3.47,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",0,2.55,feminine,9972,7,3,3.47,feminine,47,1,29
única,5.16,spanish,"wordfreq (Speer 2022); gender by canonical -o/-a ending, gerunds excluded",2,1.75,feminine,10183,5,3,5.16,feminine,48,1,30
