word,freq_zipf,language,source,n_density,old20,id,length,frequency,condition,set,list,trial
lgbt,3.93,spanish,wordfreq,0,2,16738,4,3.93,sparse_neighbourhood,41,1,1
bla,4.04,spanish,wordfreq,8,1.25,3439,3,4.04,dense_neighbourhood,38,1,2
xii,3.99,spanish,wordfreq,8,1.35,29735,3,3.99,dense_neighbourhood,45,1,3
http,4.88,spanish,wordfreq,0,1.95,14357,4,4.88,sparse_neighbourhood,31,1,4
taxi,4.31,spanish,wordfreq,1,1.85,27277,4,4.31,sparse_neighbourhood,11,1,5
sofá,3.96,spanish,wordfreq,1,1.95,26377,4,3.96,sparse_neighbourhood,28,1,6
this,4.22,spanish,wordfreq,0,1.95,27625,4,4.22,sparse_neighbourhood,53,1,7
cuba,4.92,spanish,wordfreq,7,1.45,7412,4,4.92,dense_neighbourhood,31,1,8
toda,5.72,spanish,wordfreq,8,1.4,27788,4,5.72,dense_neighbourhood,44,1,9
rosas,4.25,spanish,wordfreq,11,1.35,25081,5,4.25,dense_neighbourhood,58,1,10
off,4.03,spanish,wordfreq,1,1.85,19969,3,4.03,sparse_neighbourhood,18,1,11
africa,4.16,spanish,wordfreq,1,1.9,755,6,4.16,sparse_neighbourhood,8,1,12
adam,4.07,spanish,wordfreq,0,1.9,506,4,4.07,sparse_neighbourhood,67,1,13
men,4,spanish,wordfreq,27,1,18131,3,4,dense_neighbourhood,79,1,14
alonso,4.32,spanish,wordfreq,0,2.65,1228,6,4.32,sparse_neighbourhood,13,1,15
york,4.95,spanish,wordfreq,1,1.95,29799,4,4.95,sparse_neighbourhood,30,1,16
bush,3.91,spanish,wordfreq,1,1.9,3880,4,3.91,sparse_neighbourhood,33,1,17
apple,4.25,spanish,wordfreq,0,2.55,1892,5,4.25,sparse_neighbourhood,58,1,18
abuso,4.37,spanish,wordfreq,1,1.9,162,5,4.37,sparse_neighbourhood,46,1,19
perro,4.9,spanish,wordfreq,7,1.55,21390,5,4.9,dense_neighbourhood,34,1,20
guías,3.88,spanish,wordfreq,0,1.95,13721,5,3.88,sparse_neighbourhood,21,1,21
nueva,5.67,spanish,wordfreq,5,1.7,19684,5,5.67,dense_neighbourhood,12,1,22
corta,4.64,spanish,wordfreq,11,1.2,7038,5,4.64,dense_neighbourhood,56,1,23
marx,3.97,spanish,wordfreq,9,1.45,17838,4,3.97,dense_neighbourhood,48,1,24
rose,3.99,spanish,wordfreq,7,1.6,25083,4,3.99,dense_neighbourhood,35,1,25
jazz,4,spanish,wordfreq,0,2,15992,4,4,sparse_neighbourhood,59,1,26
busco,4.31,spanish,wordfreq,5,1.7,3877,5,4.31,dense_neighbourhood,3,1,27
mete,4.2,spanish,wordfreq,8,1.35,18268,4,4.2,dense_neighbourhood,42,1,28
roba,3.97,spanish,wordfreq,12,1.15,24930,4,3.97,dense_neighbourhood,61,1,29
honor,4.85,spanish,wordfreq,0,2,14274,5,4.85,sparse_neighbourhood,20,1,30
gustos,4.16,spanish,wordfreq,5,1.7,13712,6,4.16,dense_neighbourhood,8,1,31
bio,3.81,spanish,wordfreq,15,1.1,3406,3,3.81,dense_neighbourhood,66,1,32
tuit,4.18,spanish,wordfreq,0,1.95,28337,4,4.18,sparse_neighbourhood,78,1,33
azul,4.83,spanish,wordfreq,0,2,2906,4,4.83,sparse_neighbourhood,44,1,34
bici,4.05,spanish,wordfreq,0,1.95,3366,4,4.05,sparse_neighbourhood,66,1,35
from,4.18,spanish,wordfreq,0,1.95,12772,4,4.18,sparse_neighbourhood,52,1,36
obvio,4.54,spanish,wordfreq,1,2.2,19849,5,4.54,sparse_neighbourhood,25,1,37
wifi,4.07,spanish,wordfreq,1,1.9,29677,4,4.07,sparse_neighbourhood,75,1,38
dejan,4.7,spanish,wordfreq,5,1.65,8116,5,4.7,dense_neighbourhood,5,1,39
coma,4.12,spanish,wordfreq,19,1,5620,4,4.12,dense_neighbourhood,73,1,40
aqui,4.96,spanish,wordfreq,1,1.9,2009,4,4.96,sparse_neighbourhood,29,1,41
bruce,3.94,spanish,wordfreq,1,1.95,3757,5,3.94,sparse_neighbourhood,2,1,42
orto,4.35,spanish,wordfreq,1,1.8,20339,4,4.35,sparse_neighbourhood,47,1,43
cruz,4.86,spanish,wordfreq,0,1.85,7326,4,4.86,sparse_neighbourhood,32,1,44
pana,3.81,spanish,wordfreq,17,1,20570,4,3.81,dense_neighbourhood,71,1,45
tiró,3.89,spanish,wordfreq,6,1.65,27734,4,3.89,dense_neighbourhood,27,1,46
caras,4.42,spanish,wordfreq,14,1,4434,5,4.42,dense_neighbourhood,64,1,47
soria,3.9,spanish,wordfreq,9,1.5,26529,5,3.9,dense_neighbourhood,50,1,48
novio,4.63,spanish,wordfreq,1,1.85,19660,5,4.63,sparse_neighbourhood,60,1,49
mac,4.19,spanish,wordfreq,16,1,17355,3,4.19,dense_neighbourhood,69,1,50
chef,3.88,spanish,wordfreq,1,1.85,5033,4,3.88,sparse_neighbourhood,27,1,51
año,5.88,spanish,wordfreq,7,1.35,2927,3,5.88,dense_neighbourhood,29,1,52
soy,5.78,spanish,wordfreq,15,1.1,26591,3,5.78,dense_neighbourhood,68,1,53
legal,4.9,spanish,wordfreq,1,1.85,16588,5,4.9,sparse_neighbourhood,34,1,54
espía,3.88,spanish,wordfreq,0,1.95,11201,5,3.88,sparse_neighbourhood,15,1,55
verde,4.87,spanish,wordfreq,5,1.65,29037,5,4.87,dense_neighbourhood,17,1,56
group,3.9,spanish,wordfreq,0,2.8,13584,5,3.9,sparse_neighbourhood,50,1,57
irán,4.44,spanish,wordfreq,5,1.65,15857,4,4.44,dense_neighbourhood,9,1,58
papas,4.19,spanish,wordfreq,13,1.3,20615,5,4.19,dense_neighbourhood,63,1,59
oído,4.49,spanish,wordfreq,1,1.9,20433,4,4.49,sparse_neighbourhood,54,1,60
gays,3.98,spanish,wordfreq,1,1.85,13137,4,3.98,sparse_neighbourhood,45,1,61
cdmx,3.92,spanish,wordfreq,0,2,4766,4,3.92,sparse_neighbourhood,40,1,62
haré,4.29,spanish,wordfreq,9,1.5,13955,4,4.29,dense_neighbourhood,47,1,63
ideal,4.57,spanish,wordfreq,1,1.85,14520,5,4.57,sparse_neighbourhood,7,1,64
joe,4.18,spanish,wordfreq,10,1.15,16073,3,4.18,dense_neighbourhood,52,1,65
suya,4.42,spanish,wordfreq,7,1.6,27081,4,4.42,dense_neighbourhood,36,1,66
plano,4.54,spanish,wordfreq,6,1.55,21749,5,4.54,dense_neighbourhood,25,1,67
nazi,4.11,spanish,wordfreq,1,1.9,19313,4,4.11,sparse_neighbourhood,73,1,68
juez,4.83,spanish,wordfreq,1,1.9,16159,4,4.83,sparse_neighbourhood,68,1,69
blue,4.04,spanish,wordfreq,0,1.85,3484,4,4.04,sparse_neighbourhood,65,1,70
pila,4.04,spanish,wordfreq,14,1,21604,4,4.04,dense_neighbourhood,65,1,71
negó,4.19,spanish,wordfreq,1,1.95,19389,4,4.19,sparse_neighbourhood,69,1,72
roto,4.29,spanish,wordfreq,16,1.1,25093,4,4.29,dense_neighbourhood,70,1,73
auge,3.97,spanish,wordfreq,0,1.95,2671,4,3.97,sparse_neighbourhood,48,1,74
cortar,4.37,spanish,wordfreq,5,1.65,7048,6,4.37,dense_neighbourhood,4,1,75
isla,4.97,spanish,wordfreq,0,1.85,15877,4,4.97,sparse_neighbourhood,24,1,76
bahía,4.19,spanish,wordfreq,1,1.95,2954,5,4.19,sparse_neighbourhood,63,1,77
mas,5.87,spanish,wordfreq,37,1,17852,3,5.87,dense_neighbourhood,80,1,78
psoe,4.41,spanish,wordfreq,0,1.95,23089,4,4.41,sparse_neighbourhood,9,1,79
art,4.58,spanish,wordfreq,10,1.05,2252,3,4.58,dense_neighbourhood,51,1,80
malos,4.61,spanish,wordfreq,6,1.6,17494,5,4.61,dense_neighbourhood,23,1,81
abra,3.94,spanish,wordfreq,5,1.3,80,4,3.94,dense_neighbourhood,1,1,82
pdf,4.06,spanish,wordfreq,0,1.85,21000,3,4.06,sparse_neighbourhood,38,1,83
clima,4.64,spanish,wordfreq,1,1.75,5356,5,4.64,sparse_neighbourhood,56,1,84
creen,4.85,spanish,wordfreq,6,1.55,7209,5,4.85,dense_neighbourhood,20,1,85
pocos,5.06,spanish,wordfreq,9,1.5,21866,5,5.06,dense_neighbourhood,49,1,86
falló,3.8,spanish,wordfreq,6,1.65,12033,5,3.8,dense_neighbourhood,21,1,87
park,4.29,spanish,wordfreq,10,1.45,20731,4,4.29,dense_neighbourhood,53,1,88
gratis,4.88,spanish,wordfreq,0,2,13517,6,4.88,sparse_neighbourhood,26,1,89
aquel,4.87,spanish,wordfreq,1,1.9,2004,5,4.87,sparse_neighbourhood,17,1,90
salida,4.88,spanish,wordfreq,6,1.6,25354,6,4.88,dense_neighbourhood,26,1,91
guía,4.56,spanish,wordfreq,1,1.9,13720,4,4.56,sparse_neighbourhood,72,1,92
huir,4.21,spanish,wordfreq,0,2,14402,4,4.21,sparse_neighbourhood,37,1,93
casi,5.55,spanish,wordfreq,7,1.4,4613,4,5.55,dense_neighbourhood,30,1,94
bien,6.11,spanish,wordfreq,6,1.6,3374,4,6.11,dense_neighbourhood,19,1,95
once,4.39,spanish,wordfreq,0,1.9,20112,4,4.39,sparse_neighbourhood,36,1,96
kilo,3.87,spanish,wordfreq,7,1.6,16339,4,3.87,dense_neighbourhood,33,1,97
emma,3.99,spanish,wordfreq,1,1.9,10196,4,3.99,sparse_neighbourhood,35,1,98
team,4.08,spanish,wordfreq,0,1.85,27290,4,4.08,sparse_neighbourhood,79,1,99
útil,4.58,spanish,wordfreq,1,1.9,29999,4,4.58,sparse_neighbourhood,51,1,100
héroe,4.42,spanish,wordfreq,1,2.55,14473,5,4.42,sparse_neighbourhood,64,1,101
bebés,4.22,spanish,wordfreq,1,1.9,3232,5,4.22,sparse_neighbourhood,16,1,102
air,4.03,spanish,wordfreq,6,1.4,932,3,4.03,dense_neighbourhood,18,1,103
osea,4.18,spanish,wordfreq,1,1.75,20362,4,4.18,sparse_neighbourhood,76,1,104
via,4.31,spanish,wordfreq,21,1,29125,3,4.31,dense_neighbourhood,76,1,105
café,4.81,spanish,wordfreq,1,1.9,4010,4,4.81,sparse_neighbourhood,74,1,106
vice,3.96,spanish,wordfreq,6,1.45,29159,4,3.96,dense_neighbourhood,28,1,107
vio,4.82,spanish,wordfreq,19,1,29280,3,4.82,dense_neighbourhood,74,1,108
ryan,3.93,spanish,wordfreq,0,1.85,25188,4,3.93,sparse_neighbourhood,61,1,109
cariño,4.59,spanish,wordfreq,1,1.95,4496,6,4.59,sparse_neighbourhood,6,1,110
veas,4.21,spanish,wordfreq,7,1.25,28873,4,4.21,dense_neighbourhood,37,1,111
sigas,3.8,spanish,wordfreq,5,1.65,26076,5,3.8,dense_neighbourhood,15,1,112
males,3.87,spanish,wordfreq,11,1.4,17475,5,3.87,dense_neighbourhood,57,1,113
min,4.28,spanish,wordfreq,25,1,18447,3,4.28,dense_neighbourhood,78,1,114
labor,4.61,spanish,wordfreq,1,1.95,16392,5,4.61,sparse_neighbourhood,23,1,115
niño,5.1,spanish,wordfreq,6,1.65,19509,4,5.1,dense_neighbourhood,24,1,116
white,4.03,spanish,wordfreq,0,2,29671,5,4.03,sparse_neighbourhood,14,1,117
plazas,4.32,spanish,wordfreq,5,1.7,21807,6,4.32,dense_neighbourhood,13,1,118
eeuu,4.66,spanish,wordfreq,0,2.4,9908,4,4.66,sparse_neighbourhood,80,1,119
lady,4.07,spanish,wordfreq,1,1.95,16415,4,4.07,sparse_neighbourhood,71,1,120
saca,4.52,spanish,wordfreq,10,1.25,25262,4,4.52,dense_neighbourhood,54,1,121
sos,4.82,spanish,wordfreq,22,1,26551,3,4.82,dense_neighbourhood,77,1,122
alla,4.01,spanish,wordfreq,12,1,1185,4,4.01,dense_neighbourhood,59,1,123
dra,3.94,spanish,wordfreq,13,1,9616,3,3.94,dense_neighbourhood,62,1,124
plata,5.07,spanish,wordfreq,8,1.45,21781,5,5.07,dense_neighbourhood,43,1,125
llegar,5.38,spanish,wordfreq,5,1.6,17009,6,5.38,dense_neighbourhood,10,1,126
club,4.98,spanish,wordfreq,0,1.95,5374,4,4.98,sparse_neighbourhood,19,1,127
modelo,5.03,spanish,wordfreq,0,2.1,18606,6,5.03,sparse_neighbourhood,10,1,128
ricas,4.03,spanish,wordfreq,5,1.7,24829,5,4.03,dense_neighbourhood,14,1,129
mera,4,spanish,wordfreq,15,1,18195,4,4,dense_neighbourhood,67,1,130
tía,4.35,spanish,wordfreq,10,1.35,28426,3,4.35,dense_neighbourhood,55,1,131
