word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,list,trial
desk,4.43,english,wordfreq,4,1.7,7338,4,1,4.43,continuous,48,1,1
return,5.19,english,wordfreq,0,2.5,22608,6,2,5.19,continuous,74,1,2
hugh,4.01,english,wordfreq,5,1.55,12982,4,1,4.01,continuous,20,1,3
runners,3.97,english,wordfreq,1,2.05,23161,7,2,3.97,continuous,17,1,4
sword,4.37,english,wordfreq,2,1.8,26410,5,1,4.37,continuous,45,1,5
insight,4.19,english,wordfreq,0,2.65,13782,7,2,4.19,continuous,34,1,6
vienna,3.98,english,wordfreq,1,2.75,28755,6,2,3.98,continuous,18,1,7
flown,3.83,english,wordfreq,4,1.75,10470,5,1,3.83,continuous,4,1,8
puerto,4.04,english,wordfreq,0,2.75,21225,6,2,4.04,continuous,23,1,9
beans,4.14,english,wordfreq,8,1.5,2382,5,1,4.14,continuous,30,1,10
modes,3.96,english,wordfreq,8,1.4,17339,5,2,3.96,continuous,16,1,11
mayor,4.62,english,wordfreq,3,1.75,16626,5,1,4.62,continuous,57,1,12
saints,4.16,english,wordfreq,1,1.9,23277,6,1,4.16,continuous,32,1,13
excuses,3.95,english,wordfreq,1,2.35,9503,7,3,3.95,continuous,15,1,14
seniors,3.88,english,wordfreq,1,2.35,23872,7,2,3.88,continuous,9,1,15
raids,3.89,english,wordfreq,3,1.65,21545,5,1,3.89,continuous,10,1,16
mature,4.28,english,wordfreq,2,1.85,16587,6,3,4.28,continuous,40,1,17
lucky,4.77,english,wordfreq,1,1.85,15982,5,2,4.77,continuous,63,1,18
tech,4.69,english,wordfreq,1,1.8,26707,4,1,4.69,continuous,60,1,19
khan,4.25,english,wordfreq,4,1.7,14805,4,1,4.25,continuous,38,1,20
nasty,4.22,english,wordfreq,2,1.9,17891,5,2,4.22,continuous,36,1,21
applied,4.67,english,wordfreq,1,2.5,1281,7,2,4.67,continuous,59,1,22
smile,4.64,english,wordfreq,1,1.75,24779,5,2,4.64,continuous,58,1,23
freak,4.08,english,wordfreq,1,1.85,10804,5,1,4.08,continuous,26,1,24
theater,4.35,english,wordfreq,1,1.85,26929,7,2,4.35,continuous,44,1,25
person,5.55,english,wordfreq,0,1.8,19800,6,2,5.55,continuous,78,1,26
betting,4.0,english,wordfreq,8,1.6,2625,7,2,4.0,continuous,19,1,27
snack,3.9,english,wordfreq,6,1.6,24816,5,1,3.9,continuous,11,1,28
claims,4.86,english,wordfreq,0,1.9,4839,6,1,4.86,continuous,66,1,29
handles,3.85,english,wordfreq,3,1.75,12124,7,2,3.85,continuous,6,1,30
scope,4.26,english,wordfreq,2,1.85,23593,5,2,4.26,continuous,39,1,31
dial,3.93,english,wordfreq,5,1.55,7487,4,1,3.93,continuous,13,1,32
earl,4.18,english,wordfreq,4,1.6,8483,4,1,4.18,continuous,33,1,33
jeremy,4.15,english,wordfreq,0,2.55,14403,6,3,4.15,continuous,31,1,34
japan,4.89,english,wordfreq,0,2.0,14341,5,2,4.89,continuous,67,1,35
friday,4.96,english,wordfreq,0,2.5,10865,6,2,4.96,continuous,69,1,36
maya,3.87,english,wordfreq,10,1.4,16616,4,1,3.87,continuous,8,1,37
contest,4.53,english,wordfreq,2,1.85,5870,7,2,4.53,continuous,53,1,38
scale,4.83,english,wordfreq,5,1.6,23474,5,2,4.83,continuous,65,1,39
offers,4.74,english,wordfreq,0,2.0,18637,6,2,4.74,continuous,62,1,40
juan,4.12,english,wordfreq,4,1.7,14558,4,1,4.12,continuous,29,1,41
charity,4.45,english,wordfreq,1,2.4,4489,7,3,4.45,continuous,49,1,42
maple,3.86,english,wordfreq,0,1.95,16346,5,2,3.86,continuous,7,1,43
knife,4.41,english,wordfreq,0,2.05,14926,5,2,4.41,continuous,47,1,44
duties,4.32,english,wordfreq,0,2.1,8432,6,2,4.32,continuous,42,1,45
watch,5.34,english,wordfreq,7,1.65,29128,5,1,5.34,continuous,76,1,46
senior,4.92,english,wordfreq,1,2.15,23870,6,2,4.92,continuous,68,1,47
roger,4.39,english,wordfreq,3,1.75,22936,5,2,4.39,continuous,46,1,48
anti,5.01,english,wordfreq,3,1.75,1149,4,2,5.01,continuous,70,1,49
links,4.72,english,wordfreq,5,1.65,15650,5,1,4.72,continuous,61,1,50
crane,3.92,english,wordfreq,4,1.7,6292,5,2,3.92,continuous,12,1,51
visited,4.5,english,wordfreq,0,2.65,28851,7,3,4.5,continuous,52,1,52
used,5.8,english,wordfreq,2,1.75,28423,4,2,5.8,continuous,79,1,53
saving,4.59,english,wordfreq,5,1.65,23447,6,2,4.59,continuous,56,1,54
barber,3.81,english,wordfreq,3,1.85,2197,6,2,3.81,continuous,2,1,55
talk,5.42,english,wordfreq,6,1.5,26555,4,1,5.42,continuous,77,1,56
