word,freq_zipf,language,source,n_density,old20,id,length,n_syllables,frequency,condition,set,list,trial
金子,3.65,chinese,wordfreq,199,1,18736,2,0,3.65,low_frequency,25,1,1
受到,5.4,chinese,wordfreq,78,1,4659,2,0,5.4,high_frequency,55,1,2
个股,3.56,chinese,wordfreq,19,1.05,1018,2,0,3.56,low_frequency,57,1,3
丧命,3.81,chinese,wordfreq,22,1,1003,2,0,3.81,low_frequency,22,1,4
公园,5.01,chinese,wordfreq,72,1,2841,2,0,5.01,high_frequency,4,1,5
一等,5,chinese,wordfreq,248,1,226,2,0,5,high_frequency,1,1,6
一家,5.03,chinese,wordfreq,307,1,106,2,0,5.03,high_frequency,7,1,7
为准,3.85,chinese,wordfreq,32,1,1145,2,0,3.85,low_frequency,33,1,8
还是,5.76,chinese,wordfreq,46,1,18066,2,0,5.76,high_frequency,74,1,9
英语,5.07,chinese,wordfreq,44,1,16297,2,0,5.07,high_frequency,15,1,10
二千,3.53,chinese,wordfreq,39,1,1472,2,0,3.53,low_frequency,69,1,11
大兵,3.55,chinese,wordfreq,195,1,6196,2,0,3.55,low_frequency,80,1,12
主板,3.52,chinese,wordfreq,59,1,1199,2,0,3.52,low_frequency,77,1,13
下发,3.64,chinese,wordfreq,106,1,536,2,0,3.64,low_frequency,18,1,14
三周,3.63,chinese,wordfreq,78,1,380,2,0,3.63,low_frequency,55,1,15
时有,5.09,chinese,wordfreq,106,1,10887,2,0,5.09,high_frequency,18,1,16
七点,3.75,chinese,wordfreq,82,1,312,2,0,3.75,low_frequency,47,1,17
表演,5,chinese,wordfreq,34,1,16658,2,0,5,high_frequency,3,1,18
经营,5.16,chinese,wordfreq,28,1,15345,2,0,5.16,high_frequency,30,1,19
上尉,3.64,chinese,wordfreq,78,1,463,2,0,3.64,low_frequency,58,1,20
为啥,4.05,chinese,wordfreq,20,1,1147,2,0,4.05,low_frequency,73,1,21
之前,5.45,chinese,wordfreq,73,1,1254,2,0,5.45,high_frequency,59,1,22
这会,5.27,chinese,wordfreq,108,1,18080,2,0,5.27,high_frequency,44,1,23
五万,3.64,chinese,wordfreq,42,1,1520,2,0,3.64,low_frequency,17,1,24
必需,4.1,chinese,wordfreq,14,1.25,8670,2,0,4.1,low_frequency,27,1,25
两级,3.79,chinese,wordfreq,108,1,975,2,0,3.79,low_frequency,44,1,26
结果,5.67,chinese,wordfreq,36,1,15369,2,0,5.67,high_frequency,71,1,27
三期,3.5,chinese,wordfreq,104,1,404,2,0,3.5,low_frequency,6,1,28
标准,5.32,chinese,wordfreq,25,1,11660,2,0,5.32,high_frequency,49,1,29
万个,3.99,chinese,wordfreq,67,1,316,2,0,3.99,low_frequency,78,1,30
单人,3.85,chinese,wordfreq,162,1,4191,2,0,3.85,low_frequency,12,1,31
三只,3.5,chinese,wordfreq,73,1,376,2,0,3.5,low_frequency,59,1,32
丰田,3.82,chinese,wordfreq,17,1.15,1119,2,0,3.82,low_frequency,32,1,33
人以,5.12,chinese,wordfreq,87,1,1683,2,0,5.12,high_frequency,23,1,34
下巴,3.68,chinese,wordfreq,68,1,546,2,0,3.68,low_frequency,34,1,35
祖父,4.03,chinese,wordfreq,15,1.2,14510,2,0,4.03,low_frequency,76,1,36
专政,4.12,chinese,wordfreq,50,1,802,2,0,4.12,low_frequency,79,1,37
欧洲,5.37,chinese,wordfreq,16,1.1,11907,2,0,5.37,high_frequency,53,1,38
化妆,4.01,chinese,wordfreq,14,1.25,3971,2,0,4.01,low_frequency,9,1,39
东坡,3.52,chinese,wordfreq,36,1,866,2,0,3.52,low_frequency,16,1,40
创新,5.14,chinese,wordfreq,26,1,3570,2,0,5.14,high_frequency,26,1,41
万台,3.57,chinese,wordfreq,57,1,331,2,0,3.57,low_frequency,54,1,42
万万,3.59,chinese,wordfreq,45,1,315,2,0,3.59,low_frequency,31,1,43
行动,5.41,chinese,wordfreq,87,1,16593,2,0,5.41,high_frequency,56,1,44
电影,5.71,chinese,wordfreq,55,1,13810,2,0,5.71,high_frequency,72,1,45
能够,5.54,chinese,wordfreq,15,1.25,15953,2,0,5.54,high_frequency,65,1,46
年会,5.25,chinese,wordfreq,81,1,8020,2,0,5.25,high_frequency,41,1,47
交配,3.85,chinese,wordfreq,42,1,1612,2,0,3.85,low_frequency,66,1,48
千瓦,3.63,chinese,wordfreq,14,1.25,4111,2,0,3.63,low_frequency,13,1,49
大火,4.2,chinese,wordfreq,199,1,6301,2,0,4.2,low_frequency,1,1,50
三张,3.61,chinese,wordfreq,85,1,396,2,0,3.61,low_frequency,28,1,51
三项,3.89,chinese,wordfreq,89,1,434,2,0,3.89,low_frequency,38,1,52
至少,5.17,chinese,wordfreq,17,1.15,16106,2,0,5.17,high_frequency,32,1,53
指导,5,chinese,wordfreq,41,1,9748,2,0,5,high_frequency,2,1,54
举措,4.17,chinese,wordfreq,15,1.25,1226,2,0,4.17,low_frequency,42,1,55
万家,3.72,chinese,wordfreq,99,1,337,2,0,3.72,low_frequency,21,1,56
不服,3.99,chinese,wordfreq,166,1,700,2,0,3.99,low_frequency,60,1,57
