word,notes,freq_zipf,n_density,old20,length,n_syllables,frequency,language,id,condition,set,list,trial
torch,concrete noun,3.74,3,1.85,5,1,3.74,english,121,lower_frequency,19,1,1
bottle,concrete noun,4.57,1,1.85,6,2,4.57,english,13,higher_frequency,8,1,2
scale,concrete noun,4.83,5,1.6,5,2,4.83,english,105,higher_frequency,16,1,3
river,concrete noun,5.03,5,1.6,5,2,5.03,english,99,higher_frequency,18,1,4
otter,concrete noun,3.37,3,1.7,5,2,3.37,english,79,lower_frequency,16,1,5
canyon,concrete noun,3.96,2,1.8,6,2,3.96,english,22,lower_frequency,10,1,6
flower,concrete noun,4.42,3,1.75,6,2,4.42,english,44,higher_frequency,2,1,7
banana,concrete noun,4,0,2.25,6,3,4,english,5,lower_frequency,17,1,8
gravel,concrete noun,3.7,2,1.8,6,2,3.7,english,53,lower_frequency,12,1,9
binder,concrete noun,3.32,7,1.65,6,2,3.32,english,10,lower_frequency,1,1,10
house,concrete noun,5.71,3,1.7,5,2,5.71,english,60,higher_frequency,20,1,11
bread,concrete noun,4.5,5,1.5,5,1,4.5,english,15,higher_frequency,6,1,12
folder,concrete noun,3.74,6,1.6,6,2,3.74,english,45,lower_frequency,14,1,13
valley,concrete noun,4.72,2,1.8,6,2,4.72,english,125,higher_frequency,12,1,14
beaver,concrete noun,3.61,3,1.8,6,2,3.61,english,9,lower_frequency,2,1,15
bridge,concrete noun,4.77,1,1.75,6,2,4.77,english,16,higher_frequency,13,1,16
mirror,concrete noun,4.47,0,2.5,6,2,4.47,english,72,higher_frequency,5,1,17
marble,concrete noun,3.96,0,1.95,6,2,3.96,english,68,lower_frequency,11,1,18
castle,concrete noun,4.45,1,1.85,6,2,4.45,english,24,higher_frequency,3,1,19
timber,concrete noun,4.01,0,1.9,6,2,4.01,english,119,lower_frequency,4,1,20
marker,concrete noun,3.87,5,1.65,6,2,3.87,english,69,lower_frequency,7,1,21
monkey,concrete noun,4.07,1,1.85,6,2,4.07,english,73,lower_frequency,3,1,22
stream,concrete noun,4.62,2,1.8,6,1,4.62,english,114,higher_frequency,10,1,23
scarf,concrete noun,3.68,3,1.8,5,1,3.68,english,106,lower_frequency,18,1,24
orange,concrete noun,4.62,1,1.85,6,3,4.62,english,77,higher_frequency,9,1,25
stone,concrete noun,4.8,6,1.5,5,2,4.8,english,113,higher_frequency,14,1,26
grape,concrete noun,3.7,6,1.6,5,2,3.7,english,52,lower_frequency,6,1,27
butter,concrete noun,4.4,8,1.5,6,2,4.4,english,17,higher_frequency,1,1,28
button,concrete noun,4.56,5,1.7,6,2,4.56,english,18,higher_frequency,7,1,29
chisel,concrete noun,2.96,0,2.3,6,2,2.96,english,28,lower_frequency,5,1,30
temple,concrete noun,4.45,0,1.9,6,2,4.45,english,118,higher_frequency,4,1,31
lagoon,concrete noun,3.43,0,2.3,6,2,3.43,english,65,lower_frequency,15,1,32
table,concrete noun,5.05,4,1.55,5,2,5.05,english,117,higher_frequency,19,1,33
forest,concrete noun,4.7,0,1.9,6,2,4.7,english,46,higher_frequency,11,1,34
engine,concrete noun,4.84,0,2.15,6,3,4.84,english,41,higher_frequency,17,1,35
glove,concrete noun,3.73,2,1.75,5,2,3.73,english,50,lower_frequency,20,1,36
candle,concrete noun,3.88,1,1.9,6,2,3.88,english,20,lower_frequency,9,1,37
carrot,concrete noun,3.62,1,1.9,6,2,3.62,english,23,lower_frequency,13,1,38
window,concrete noun,4.8,0,2.3,6,2,4.8,english,130,higher_frequency,15,1,39
shovel,concrete noun,3.5,1,1.85,6,2,3.5,english,109,lower_frequency,8,1,40
