word,freq_zipf,language,source,n_density,old20,id,length,frequency,condition,set,list,trial
accepts,3.88,english,wordfreq,1,2.65,132,7,3.88,low_frequency,20,1,83
right,5.96,english,wordfreq,8,1.35,22775,5,5.96,high_frequency,68,1,84
betty,3.92,english,wordfreq,6,1.65,2627,5,3.92,low_frequency,8,1,85
breach,4.13,english,wordfreq,3,1.75,3293,6,4.13,low_frequency,33,1,86
ranking,4.19,english,wordfreq,4,1.65,21627,7,4.19,low_frequency,29,1,87
using,5.47,english,wordfreq,0,1.95,28434,5,5.47,high_frequency,42,1,88
students,5.25,english,wordfreq,0,3.1,25902,8,5.25,high_frequency,12,1,89
power,5.52,english,wordfreq,7,1.55,20559,5,5.52,high_frequency,47,1,90
art,5.29,english,wordfreq,19,1.0,1506,3,5.29,high_frequency,16,1,91
won,5.2,english,wordfreq,21,1.0,29615,3,5.2,high_frequency,3,1,92
use,5.81,english,wordfreq,10,1.05,28422,3,5.81,high_frequency,64,1,93
abc,4.24,english,wordfreq,23,1.0,24,3,4.24,low_frequency,17,1,94
soon,5.32,english,wordfreq,13,1.2,25025,4,5.32,high_frequency,22,1,95
also,6.19,english,wordfreq,2,1.85,829,4,6.19,high_frequency,74,1,96
light,5.33,english,wordfreq,8,1.25,15561,5,5.33,high_frequency,23,1,97
aired,3.85,english,wordfreq,7,1.55,619,5,3.85,low_frequency,47,1,98
good,6.12,english,wordfreq,7,1.4,11557,4,6.12,high_frequency,73,1,99
adopt,4.19,english,wordfreq,2,1.85,390,5,4.19,low_frequency,19,1,100
boil,3.83,english,wordfreq,7,1.5,2995,4,3.83,low_frequency,63,1,101
says,5.49,english,wordfreq,15,1.1,23467,4,5.49,high_frequency,44,1,102
however,5.58,english,wordfreq,0,2.75,12937,7,5.58,high_frequency,53,1,103
please,5.66,english,wordfreq,0,1.8,20219,6,5.66,high_frequency,57,1,104
ace,4.11,english,wordfreq,21,1.0,200,3,4.11,low_frequency,3,1,105
adjust,4.07,english,wordfreq,0,2.55,345,6,4.07,low_frequency,56,1,106
where,6.0,english,wordfreq,2,1.8,29344,5,6.0,high_frequency,70,1,107
story,5.45,english,wordfreq,3,1.7,25755,5,5.45,high_frequency,40,1,108
coming,5.4,english,wordfreq,3,1.75,5293,6,5.4,high_frequency,33,1,109
bra,3.85,english,wordfreq,13,1.0,3228,3,3.85,low_frequency,28,1,110
lace,3.82,english,wordfreq,13,1.0,15037,4,3.82,low_frequency,48,1,111
races,4.38,english,wordfreq,9,1.25,21486,5,4.38,low_frequency,23,1,112
fuck,5.39,english,wordfreq,9,1.5,10936,4,5.39,high_frequency,31,1,113
course,5.44,english,wordfreq,1,1.85,6205,6,5.44,high_frequency,38,1,114
thing,5.72,english,wordfreq,5,1.55,26998,5,5.72,high_frequency,60,1,115
atm,3.85,english,wordfreq,16,1.0,1728,3,3.85,low_frequency,54,1,116
through,5.87,english,wordfreq,0,2.45,27082,7,5.87,high_frequency,65,1,117
had,6.33,english,wordfreq,27,1.0,12013,3,6.33,high_frequency,76,1,118
shows,5.23,english,wordfreq,6,1.65,24306,5,5.23,high_frequency,8,1,119
